T=68428	 X=4338	 Y=3244	 Z=956
T=68429	 X=4449	 Y=3201	 Z=987
T=68430	 X=4695	 Y=3264	 Z=1086
T=68431	 X=4791	 Y=3246	 Z=1157
T=68432	 X=4833	 Y=3273	 Z=1190
T=68433	 X=4839	 Y=3331	 Z=1229
T=68434	 X=4857	 Y=3315	 Z=1257
T=60926	 X=4867	 Y=3314	 Z=1248
T=60927	 X=4847	 Y=3326	 Z=1244
T=60928	 X=4906	 Y=3369	 Z=1342
T=60929	 X=4914	 Y=3371	 Z=1368
T=60930	 X=4914	 Y=3380	 Z=1344
T=60931	 X=4910	 Y=3389	 Z=1347
T=60932	 X=4888	 Y=3360	 Z=1243
T=60933	 X=4869	 Y=3351	 Z=1169
T=60934	 X=4850	 Y=3350	 Z=1184
T=60935	 X=4858	 Y=3363	 Z=1227
T=60937	 X=4867	 Y=3367	 Z=1265
T=60938	 X=4869	 Y=3365	 Z=1274
T=60939	 X=4876	 Y=3363	 Z=1328
T=60940	 X=4874	 Y=3365	 Z=1291
T=60941	 X=4869	 Y=3368	 Z=1221
T=60942	 X=4862	 Y=3371	 Z=1233
T=60943	 X=4866	 Y=3377	 Z=1196
T=60944	 X=4876	 Y=3378	 Z=1226
T=60945	 X=4883	 Y=3386	 Z=1261
T=60946	 X=4846	 Y=3417	 Z=1344
T=60947	 X=4860	 Y=3402	 Z=1322
T=60948	 X=4860	 Y=3389	 Z=1273
T=60949	 X=4859	 Y=3393	 Z=1160
T=60950	 X=4848	 Y=3388	 Z=1137
T=60951	 X=4868	 Y=3384	 Z=1234
T=60953	 X=4839	 Y=3336	 Z=1294
T=60954	 X=4807	 Y=3307	 Z=1359
T=60955	 X=4817	 Y=3323	 Z=1290
T=60956	 X=4840	 Y=3333	 Z=1327
T=60957	 X=4837	 Y=3330	 Z=1267
T=60958	 X=4844	 Y=3330	 Z=1304
T=60959	 X=4854	 Y=3344	 Z=1300
T=60960	 X=4857	 Y=3345	 Z=1263
T=60961	 X=4867	 Y=3341	 Z=1296
T=60962	 X=4917	 Y=3342	 Z=1467
T=60963	 X=4834	 Y=3289	 Z=1261
T=60964	 X=4827	 Y=3408	 Z=742
T=60965	 X=4807	 Y=3490	 Z=520
T=60966	 X=4791	 Y=3543	 Z=501
T=60967	 X=4841	 Y=3505	 Z=769
T=60968	 X=4869	 Y=3492	 Z=858
T=60970	 X=4879	 Y=3520	 Z=805
T=60971	 X=4934	 Y=3479	 Z=1002
T=60972	 X=4935	 Y=3420	 Z=1108
T=60973	 X=4925	 Y=3382	 Z=1198
T=60974	 X=4892	 Y=3355	 Z=1239
T=60975	 X=4889	 Y=3340	 Z=1266
T=60976	 X=4866	 Y=3337	 Z=1258
T=60977	 X=4859	 Y=3340	 Z=1251
T=60978	 X=4814	 Y=3368	 Z=1307
T=60979	 X=4868	 Y=3403	 Z=1406
T=60980	 X=4862	 Y=3395	 Z=1381
T=60981	 X=4857	 Y=3382	 Z=1366
T=60982	 X=4857	 Y=3378	 Z=1335
T=60983	 X=4852	 Y=3358	 Z=1262
T=60984	 X=4855	 Y=3375	 Z=1201
T=60986	 X=4860	 Y=3374	 Z=1232
T=60987	 X=4852	 Y=3368	 Z=1220
T=60988	 X=4849	 Y=3353	 Z=1314
T=60989	 X=4843	 Y=3345	 Z=1343
T=60990	 X=4844	 Y=3343	 Z=1341
T=60991	 X=4840	 Y=3341	 Z=1322
T=60992	 X=4882	 Y=3361	 Z=1397
T=60993	 X=4875	 Y=3360	 Z=1303
T=60994	 X=4886	 Y=3363	 Z=1378
T=60995	 X=4889	 Y=3378	 Z=1386
