T=41415	 X=3708	 Y=3181	 Z=797
T=41415	 X=3802	 Y=3160	 Z=734
T=41415	 X=3836	 Y=3185	 Z=693
T=41415	 X=3869	 Y=3173	 Z=591
T=41415	 X=3883	 Y=3158	 Z=526
T=41415	 X=3897	 Y=3157	 Z=486
T=41415	 X=3888	 Y=3159	 Z=460
T=41415	 X=3882	 Y=3152	 Z=453
T=41415	 X=3868	 Y=3154	 Z=416
T=41416	 X=3869	 Y=3157	 Z=411
T=41416	 X=3843	 Y=3168	 Z=384
T=41416	 X=3831	 Y=3177	 Z=388
T=41416	 X=3824	 Y=3171	 Z=379
T=41416	 X=3810	 Y=3163	 Z=354
T=41416	 X=3818	 Y=3160	 Z=339
T=41416	 X=3829	 Y=3158	 Z=355
T=41416	 X=3827	 Y=3168	 Z=350
T=41416	 X=3815	 Y=3168	 Z=355
T=41416	 X=3809	 Y=3171	 Z=339
T=41416	 X=3812	 Y=3176	 Z=343
T=41416	 X=3826	 Y=3175	 Z=369
T=41416	 X=3821	 Y=3168	 Z=366
T=41416	 X=3826	 Y=3163	 Z=383
T=41416	 X=3825	 Y=3164	 Z=380
T=41416	 X=3826	 Y=3165	 Z=378
T=41417	 X=3835	 Y=3157	 Z=382
T=41417	 X=3837	 Y=3156	 Z=383
T=41417	 X=3826	 Y=3152	 Z=392
T=41417	 X=3825	 Y=3157	 Z=376
T=41417	 X=3834	 Y=3159	 Z=384
T=41417	 X=3830	 Y=3162	 Z=385
T=41417	 X=3823	 Y=3170	 Z=394
T=41417	 X=3819	 Y=3175	 Z=391
T=41417	 X=3818	 Y=3172	 Z=374
T=41417	 X=3822	 Y=3170	 Z=366
T=41417	 X=3819	 Y=3180	 Z=373
T=41417	 X=3820	 Y=3179	 Z=360
T=41417	 X=3832	 Y=3173	 Z=365
T=41417	 X=3828	 Y=3169	 Z=381
T=41417	 X=3829	 Y=3171	 Z=392
T=41418	 X=3840	 Y=3164	 Z=418
T=41418	 X=3855	 Y=3158	 Z=427
T=41418	 X=3854	 Y=3149	 Z=420
T=41418	 X=3851	 Y=3158	 Z=411
T=41418	 X=3839	 Y=3163	 Z=407
T=41418	 X=3841	 Y=3162	 Z=395
T=41418	 X=3836	 Y=3170	 Z=397
T=41418	 X=3821	 Y=3153	 Z=398
T=41418	 X=3828	 Y=3167	 Z=417
T=41418	 X=3819	 Y=3158	 Z=399
T=41418	 X=3833	 Y=3152	 Z=403
T=41418	 X=3843	 Y=3147	 Z=404
T=41418	 X=3856	 Y=3142	 Z=386
T=41418	 X=3858	 Y=3151	 Z=411
T=41418	 X=3843	 Y=3150	 Z=409
T=41419	 X=3841	 Y=3144	 Z=409
T=41419	 X=3844	 Y=3145	 Z=420
T=41419	 X=3840	 Y=3151	 Z=409
T=41419	 X=3838	 Y=3157	 Z=416
T=41419	 X=3853	 Y=3147	 Z=426
T=41419	 X=3846	 Y=3144	 Z=416
T=41419	 X=3848	 Y=3157	 Z=406
T=41419	 X=3839	 Y=3163	 Z=394
T=41419	 X=3841	 Y=3168	 Z=384
T=41419	 X=3839	 Y=3160	 Z=365
T=41419	 X=3825	 Y=3157	 Z=356
T=41419	 X=3838	 Y=3155	 Z=361
T=41419	 X=3821	 Y=3155	 Z=362
T=41419	 X=3829	 Y=3155	 Z=375
T=41419	 X=3821	 Y=3162	 Z=368
T=41419	 X=3824	 Y=3161	 Z=375
T=41420	 X=3825	 Y=3161	 Z=376
T=41420	 X=3819	 Y=3161	 Z=379
T=41420	 X=3819	 Y=3158	 Z=387
T=41420	 X=3825	 Y=3165	 Z=376
T=41420	 X=3826	 Y=3171	 Z=383
T=41420	 X=3841	 Y=3167	 Z=395
T=41420	 X=3842	 Y=3167	 Z=392
T=41420	 X=3846	 Y=3164	 Z=409
T=41420	 X=3848	 Y=3167	 Z=428
T=41420	 X=3843	 Y=3165	 Z=421
T=41420	 X=3850	 Y=3169	 Z=412
T=41420	 X=3845	 Y=3165	 Z=416
T=41420	 X=3846	 Y=3165	 Z=412
T=41420	 X=3840	 Y=3169	 Z=390
T=41420	 X=3848	 Y=3172	 Z=386
T=41421	 X=3835	 Y=3175	 Z=380
T=41421	 X=3824	 Y=3175	 Z=386
T=41421	 X=3823	 Y=3188	 Z=372
T=41421	 X=3827	 Y=3189	 Z=360
T=41421	 X=3825	 Y=3180	 Z=366
T=41421	 X=3819	 Y=3185	 Z=367
T=41421	 X=3814	 Y=3182	 Z=365
T=41421	 X=3824	 Y=3174	 Z=387
T=41421	 X=3820	 Y=3178	 Z=392
T=41421	 X=3816	 Y=3177	 Z=386
T=41421	 X=3830	 Y=3163	 Z=408
T=41421	 X=3830	 Y=3158	 Z=392
T=41421	 X=3842	 Y=3153	 Z=403
T=41421	 X=3828	 Y=3155	 Z=404
T=41421	 X=3827	 Y=3151	 Z=398
T=41422	 X=3825	 Y=3157	 Z=381
T=41422	 X=3840	 Y=3152	 Z=381
T=41422	 X=3833	 Y=3154	 Z=388
T=41422	 X=3826	 Y=3161	 Z=388
T=41422	 X=3832	 Y=3165	 Z=392
T=41422	 X=3835	 Y=3160	 Z=389
T=41422	 X=3838	 Y=3159	 Z=403
T=41422	 X=3849	 Y=3146	 Z=395
T=41422	 X=3854	 Y=3151	 Z=413
T=41422	 X=3851	 Y=3157	 Z=419
T=41422	 X=3840	 Y=3158	 Z=402
T=41422	 X=3846	 Y=3154	 Z=406
T=41422	 X=3850	 Y=3148	 Z=409
T=41422	 X=3845	 Y=3168	 Z=398
T=41422	 X=3840	 Y=3163	 Z=401
T=41422	 X=3839	 Y=3166	 Z=401
T=41423	 X=3835	 Y=3164	 Z=405
T=41423	 X=3836	 Y=3156	 Z=400
T=41423	 X=3831	 Y=3147	 Z=404
T=41423	 X=3834	 Y=3149	 Z=419
T=41423	 X=3833	 Y=3149	 Z=411
