T=68771	 X=2060	 Y=22501	 Z=1012
T=68772	 X=2001	 Y=22553	 Z=984
T=68772	 X=1921	 Y=22562	 Z=1013
T=68772	 X=1851	 Y=22544	 Z=1096
T=68772	 X=1825	 Y=22525	 Z=1226
T=68772	 X=1839	 Y=22498	 Z=1298
T=68772	 X=1803	 Y=22480	 Z=1389
T=68772	 X=1771	 Y=22483	 Z=1450
T=68772	 X=1707	 Y=22466	 Z=1556
T=68772	 X=1717	 Y=22483	 Z=1551
T=68772	 X=1732	 Y=22523	 Z=1549
T=68772	 X=1773	 Y=22535	 Z=1515
T=68772	 X=1786	 Y=22518	 Z=1521
T=68772	 X=1830	 Y=22508	 Z=1508
T=68772	 X=1849	 Y=22478	 Z=1561
T=68772	 X=1817	 Y=22454	 Z=1569
T=68773	 X=1734	 Y=22469	 Z=1584
T=68773	 X=1671	 Y=22484	 Z=1610
T=68773	 X=1691	 Y=22502	 Z=1543
T=68773	 X=1676	 Y=22533	 Z=1460
T=68773	 X=1649	 Y=22550	 Z=1394
T=68773	 X=1643	 Y=22596	 Z=1310
T=68773	 X=1674	 Y=22663	 Z=1221
T=68773	 X=1713	 Y=22704	 Z=1145
T=68773	 X=1764	 Y=22765	 Z=1061
T=68773	 X=1812	 Y=22704	 Z=1004
T=68773	 X=1855	 Y=22694	 Z=949
T=68773	 X=1914	 Y=22700	 Z=871
T=68773	 X=1936	 Y=22626	 Z=844
T=68773	 X=1910	 Y=22465	 Z=855
T=68773	 X=1914	 Y=22482	 Z=765
T=68773	 X=1936	 Y=22502	 Z=677
T=68774	 X=1933	 Y=22481	 Z=631
T=68774	 X=1921	 Y=22494	 Z=591
T=68774	 X=1907	 Y=22492	 Z=566
T=68774	 X=1887	 Y=22400	 Z=516
T=68774	 X=1839	 Y=22445	 Z=561
T=68774	 X=1814	 Y=22460	 Z=600
T=68774	 X=1815	 Y=22462	 Z=619
T=68774	 X=1803	 Y=22469	 Z=617
T=68774	 X=1825	 Y=22484	 Z=636
T=68774	 X=1856	 Y=22497	 Z=643
T=68774	 X=1884	 Y=22515	 Z=649
T=68774	 X=1910	 Y=22545	 Z=653
T=68774	 X=1913	 Y=22593	 Z=650
T=68774	 X=1897	 Y=22493	 Z=649
T=68774	 X=1905	 Y=22395	 Z=658
T=68774	 X=1901	 Y=22351	 Z=646
T=68775	 X=1911	 Y=22325	 Z=652
T=68775	 X=1923	 Y=22326	 Z=657
T=68775	 X=1925	 Y=22369	 Z=661
T=68775	 X=1945	 Y=22370	 Z=659
T=68775	 X=1955	 Y=22394	 Z=661
T=68775	 X=1949	 Y=22375	 Z=664
T=68775	 X=1938	 Y=22375	 Z=662
T=68775	 X=1918	 Y=22388	 Z=661
T=68775	 X=1918	 Y=22353	 Z=653
T=68775	 X=1922	 Y=22349	 Z=651
T=68775	 X=1917	 Y=22352	 Z=651
T=68775	 X=1920	 Y=22350	 Z=650
T=68775	 X=1918	 Y=22348	 Z=652
T=68775	 X=1930	 Y=22343	 Z=655
T=68775	 X=1906	 Y=22332	 Z=658
T=68776	 X=1905	 Y=22318	 Z=657
T=68776	 X=1904	 Y=22330	 Z=660
T=68776	 X=1908	 Y=22349	 Z=658
T=68776	 X=1921	 Y=22362	 Z=665
T=68776	 X=1958	 Y=22370	 Z=679
T=68776	 X=1967	 Y=22365	 Z=690
T=68776	 X=1958	 Y=22374	 Z=699
T=68776	 X=1956	 Y=22382	 Z=703
T=68776	 X=1949	 Y=22375	 Z=706
T=68776	 X=1926	 Y=22350	 Z=708
T=68776	 X=1898	 Y=22332	 Z=706
T=68776	 X=1892	 Y=22311	 Z=726
T=68776	 X=1864	 Y=22289	 Z=725
T=68776	 X=1869	 Y=22290	 Z=735
T=68776	 X=1890	 Y=22286	 Z=741
T=68776	 X=1858	 Y=22257	 Z=747
T=68777	 X=1812	 Y=22252	 Z=749
T=68777	 X=1918	 Y=22265	 Z=776
T=68777	 X=1966	 Y=22271	 Z=813
T=68777	 X=1996	 Y=22233	 Z=830
T=68777	 X=2042	 Y=22190	 Z=819
T=68777	 X=2056	 Y=22159	 Z=846
T=68777	 X=2073	 Y=22113	 Z=844
T=68777	 X=2059	 Y=22057	 Z=882
T=68777	 X=1964	 Y=22015	 Z=858
T=68777	 X=1864	 Y=21951	 Z=798
T=68777	 X=1790	 Y=21893	 Z=845
T=68777	 X=1756	 Y=21818	 Z=833
T=68777	 X=1684	 Y=21748	 Z=897
T=68777	 X=1623	 Y=21690	 Z=902
T=68777	 X=1623	 Y=21631	 Z=908
T=68778	 X=1636	 Y=21598	 Z=907
T=68778	 X=1552	 Y=21571	 Z=795
T=68778	 X=1565	 Y=21539	 Z=641
T=68778	 X=1456	 Y=21478	 Z=1121
T=68778	 X=1561	 Y=21447	 Z=1230
T=68778	 X=1763	 Y=21405	 Z=1155
T=68778	 X=1742	 Y=21331	 Z=1127
T=68778	 X=1753	 Y=21269	 Z=1134
