T=68534	 X=9867	 Y=4405	 Z=368
T=68535	 X=9841	 Y=4308	 Z=887
T=68535	 X=9786	 Y=4267	 Z=1021
T=68535	 X=9740	 Y=4243	 Z=1113
T=68535	 X=9748	 Y=4222	 Z=1165
T=68535	 X=9719	 Y=4227	 Z=1173
T=68535	 X=9711	 Y=4218	 Z=1165
T=68535	 X=9719	 Y=4207	 Z=1155
T=68535	 X=9718	 Y=4210	 Z=1161
T=68535	 X=9705	 Y=4148	 Z=1181
T=68535	 X=9721	 Y=4191	 Z=1137
T=68535	 X=9734	 Y=4203	 Z=1176
T=68535	 X=9738	 Y=4203	 Z=1154
T=68535	 X=9760	 Y=4218	 Z=1168
T=68535	 X=9777	 Y=4225	 Z=1148
T=68535	 X=9777	 Y=4236	 Z=1199
T=68535	 X=9770	 Y=4248	 Z=1063
T=68536	 X=9796	 Y=4236	 Z=1480
T=68536	 X=9724	 Y=4296	 Z=59
T=68536	 X=9870	 Y=4203	 Z=2327
T=68536	 X=9797	 Y=4265	 Z=788
T=68536	 X=9794	 Y=4261	 Z=1189
T=68536	 X=9779	 Y=4263	 Z=1164
T=68536	 X=9771	 Y=4257	 Z=1168
T=68536	 X=9772	 Y=4253	 Z=1165
T=68536	 X=9766	 Y=4250	 Z=1168
T=68536	 X=9769	 Y=4237	 Z=1168
