X= 3689, Y= 5872
X= 3800, Y= 5687
X= 2723, Y= -5721
X= 3794, Y= 5742
X= 3792, Y= 5734
X= 3743, Y= 5808
X= 3773, Y= 5752
X= 3777, Y= 5761
X= 3836, Y= 5655
X= 3744, Y= 5842
X= 3816, Y= 5724
X= 3713, Y= 5834
X= 3763, Y= 5809
X= 3799, Y= 5784
X= 3751, Y= 5787
X= 3747, Y= 5846
X= 3804, Y= 5720
X= 3712, Y= 5874
X= 3795, Y= 5688
X= 3722, Y= 5800
X= 3696, Y= 5871
X= 3764, Y= 5781
X= 3810, Y= 5729
X= 3800, Y= 5700
X= 3951, Y= 5532
X= 3909, Y= 5600
X= 3923, Y= 5538
X= 3942, Y= 5536
X= 3918, Y= 5555
X= 3948, Y= 5561
X= 3954, Y= 5531
X= 3924, Y= 5509
X= 3919, Y= 5600
X= 3960, Y= 5532
X= 3971, Y= 5520
X= 3905, Y= 5571
X= 3959, Y= 5527
X= 3907, Y= 5550
X= 3213, Y= -5505
X= 3951, Y= 5487
X= 3927, Y= 5522
X= 3952, Y= 5480
X= 3895, Y= 5561
X= 3871, Y= 5647
X= 3960, Y= 5530
X= 3895, Y= 5570
X= 3872, Y= 5649
X= 3954, Y= 5545
X= 3907, Y= 5530
X= 3861, Y= 5626
X= 3895, Y= 5628
X= 3927, Y= 5542
X= 3913, Y= 5585
X= 3944, Y= 5548
X= 3848, Y= 5705
X= 3843, Y= 5692
X= 3881, Y= 5586
X= 3935, Y= 5591
X= 3925, Y= 5545
X= 3959, Y= 5577
X= 3873, Y= 5627
X= 3883, Y= 5657
X= 3867, Y= 5596
X= 3822, Y= 5669
X= 3840, Y= 5666
X= 3892, Y= 5565
X= 3915, Y= 5604
X= 3912, Y= 5581
X= 3907, Y= 5603
X= 3887, Y= 5569
X= 3894, Y= 5586
X= 3828, Y= 5645
X= 3887, Y= 5554
X= 3949, Y= 5583
X= 3909, Y= 5557
X= 3844, Y= 5668
X= 3837, Y= 5645
X= 3879, Y= 5574
X= 3855, Y= 5643
X= 3850, Y= 5559
X= 3893, Y= 5633
X= 3867, Y= 5570
X= 3839, Y= 5681
X= 3846, Y= 5615
X= 3884, Y= 5617
X= 3813, Y= 5703
X= 3817, Y= 5703
X= 3943, Y= 5538
X= 3880, Y= 5605
X= 3842, Y= 5671
X= 3839, Y= 5623
X= 3909, Y= 5633
X= 3853, Y= 5683
X= 3939, Y= 5503
X= 3870, Y= 5601
X= 3842, Y= 5639
X= 3886, Y= 5567
X= 3906, Y= 5562
X= 3936, Y= 5552
X= 3910, Y= 5545
X= 3863, Y= 5627
X= 3889, Y= 5571
X= 3941, Y= 5539
X= 3876, Y= 5609
X= 3899, Y= 5561
X= 3798, Y= 5711
X= 3854, Y= 5639
X= 3975, Y= 5460
X= 3966, Y= 5530
X= 3889, Y= 5567
X= 3938, Y= 5528
X= 3884, Y= 5619
X= 3904, Y= 5540
X= 3921, Y= 5538
X= 3947, Y= 5552
X= 3918, Y= 5546
X= 3911, Y= 5573
X= 3891, Y= 5577
X= 3944, Y= 5572
X= 3901, Y= 5570
X= 3906, Y= 5532
X= 3949, Y= 5481
X= 3929, Y= 5539
X= 3926, Y= 5579
X= 3879, Y= 5570
X= 3936, Y= 5551
X= 3882, Y= 5634
X= 3916, Y= 5541
X= 3884, Y= 5594
X= 3940, Y= 5506
X= 3920, Y= 5606
X= 3935, Y= 5539
X= 3933, Y= 5565
X= 3932, Y= 5548
X= 3914, Y= 5535
X= 3889, Y= 5640
X= 3884, Y= 5584
X= 3880, Y= 5601
X= 3942, Y= 5560
X= 3911, Y= 5599
X= 3935, Y= 5579
X= 3938, Y= 5540
X= 3987, Y= 5545
X= 3918, Y= 5604
X= 3943, Y= 5516
X= 3887, Y= 5587
X= 3920, Y= 5611
X= 3888, Y= 5647
X= 3910, Y= 5618
X= 3851, Y= 5661
X= 3875, Y= 5603
X= 3907, Y= 5602
X= 3978, Y= 5585
X= 3925, Y= 5530
X= 3951, Y= 5508
X= 3879, Y= 5598
X= 3932, Y= 5578
X= 3935, Y= 5578
X= 3897, Y= 5606
X= 3907, Y= 5513
X= 3894, Y= 5579
X= 3938, Y= 5577
X= 3890, Y= 5626
X= 3875, Y= 5620
X= 3875, Y= 5607
X= 3905, Y= 5544
X= 3924, Y= 5585
X= 3850, Y= 5674
X= 3861, Y= 5638
X= 3885, Y= 5601
X= 3895, Y= 5579
X= 3926, Y= 5562
X= 3898, Y= 5557
X= 3923, Y= 5559
X= 3918, Y= 5563
X= 3970, Y= 5560
X= 3917, Y= 5577
X= 3897, Y= 5567
X= 3942, Y= 5580
X= 3881, Y= 5633
X= 3935, Y= 5557
X= 3865, Y= 5540
X= 3885, Y= 5593
X= 3897, Y= 5582
X= 3915, Y= 5562
X= 3947, Y= 5538
X= 3951, Y= 5517
X= 3922, Y= 5555
X= 3950, Y= 5561
X= 3928, Y= 5574
X= 3895, Y= 5621
X= 3892, Y= 5606
X= 3959, Y= 5538
X= 3949, Y= 5529
X= 3870, Y= 5619
X= 3885, Y= 5617
X= 3918, Y= 5591
X= 3947, Y= 5548
X= 3886, Y= 5542
X= 3862, Y= 5598
X= 3939, Y= 5546
X= 3969, Y= 5527
X= 3946, Y= 5486
X= 3882, Y= 5529
X= 3294, Y= -5516
X= 3969, Y= 5507
X= 3951, Y= 5501
X= 3917, Y= 5540
X= 3908, Y= 5554
X= 3902, Y= 5568
X= 3930, Y= 5570
X= 3926, Y= 5510
X= 3872, Y= 5647
X= 3871, Y= 5620
X= 3931, Y= 5597
X= 3918, Y= 5609
X= 3910, Y= 5507
X= 3909, Y= 5580
X= 3935, Y= 5543
X= 3955, Y= 5521
X= 3885, Y= 5567
X= 3960, Y= 5493
X= 3904, Y= 5537
X= 3872, Y= 5527
X= 3914, Y= 5545
X= 3975, Y= 5553
X= 3959, Y= 5527
X= 3955, Y= 5504
X= 3937, Y= 5593
X= 3904, Y= 5555
X= 3930, Y= 5532
X= 3938, Y= 5524
X= 3933, Y= 5575
X= -1592, Y= 1935
X= 3917, Y= 5542
X= 3938, Y= 5543
X= 3980, Y= 5522
X= 3927, Y= 5547
X= 3943, Y= 5544
X= 3960, Y= 5525
X= 3909, Y= 5556
X= 3938, Y= 5538
X= 3909, Y= 5571
X= 3945, Y= 5512
X= 3956, Y= 5513
X= 3899, Y= 5580
X= 3912, Y= 5524
X= 3957, Y= 5527
X= 3912, Y= 5548
X= 3966, Y= 5521
X= 3890, Y= 5594
X= 3916, Y= 5520
X= 3954, Y= 5536
X= 3932, Y= 5515
X= 3951, Y= 5556
X= 3935, Y= 5558
X= 3896, Y= 5596
X= 3918, Y= 5576
X= 3914, Y= 5539
X= 3918, Y= 5581
X= 3959, Y= 5519
X= 3910, Y= 5544
X= 3902, Y= 5578
X= 3908, Y= 5611
X= 3248, Y= -5557
X= 3918, Y= 5589
X= 3968, Y= 5513
X= 3868, Y= 5598
X= 3942, Y= 5531
X= 3158, Y= -5518
X= 3952, Y= 5534
X= 3960, Y= 5531
X= 3918, Y= 5536
X= 3905, Y= 5558
X= 3922, Y= 5593
X= 3963, Y= 5560
X= 3928, Y= 5540
X= 3937, Y= 5564
X= 3894, Y= 5623
X= 3895, Y= 5502
X= 3070, Y= -5606
X= 3882, Y= 5591
X= 3907, Y= 5608
X= 3889, Y= 5598
X= 3891, Y= 5542
X= 3905, Y= 5564
X= 3901, Y= 5565
X= 3894, Y= 5561
X= 3922, Y= 5611
X= 3909, Y= 5562
X= 3946, Y= 5540
X= 3933, Y= 5555
X= 3928, Y= 5551
X= 3930, Y= 5541
X= 3849, Y= 5573
X= 3869, Y= 5580
X= 3938, Y= 5548
X= 3876, Y= 5598
X= 3853, Y= 5607
X= 3896, Y= 5606
X= 3883, Y= 5582
X= 3887, Y= 5562
X= 3921, Y= 5523
X= 3872, Y= 5547
X= 3916, Y= 5512
X= 3922, Y= 5527
X= 3902, Y= 5573
X= 3907, Y= 5602
X= 3928, Y= 5511
X= 3940, Y= 5510
X= 3936, Y= 5556
X= 3894, Y= 5601
X= 3935, Y= 5534
X= 3903, Y= 5563
X= 3844, Y= 5663
X= 3940, Y= 5520
X= 3963, Y= 5527
X= 3976, Y= 5503
X= 3911, Y= 5540
X= 3863, Y= 5642
X= 3924, Y= 5561
X= 3899, Y= 5592
X= 3926, Y= 5586
X= 3951, Y= 5522
X= 3852, Y= 5598
X= 3860, Y= 5622
X= 3938, Y= 5555
X= 3868, Y= 5612
X= 3833, Y= 5609
X= 3837, Y= 5616
X= 3847, Y= 5583
X= 3865, Y= 5555
X= 3843, Y= 5680
X= 3843, Y= 5634
X= 3880, Y= 5558
X= 3824, Y= 5662
X= 3893, Y= 5598
X= 3841, Y= 5661
X= 3896, Y= 5591
X= 3875, Y= 5624
X= 3812, Y= 5640
X= 3818, Y= 5616
X= 3908, Y= 5530
X= 3853, Y= 5608
X= 3897, Y= 5599
X= 3862, Y= 5587
