X= 2366, Y= 2208
X= 2256, Y= 2441
X= 2211, Y= 2203
X= 2036, Y= 2156
X= 2199, Y= 2312
X= 2141, Y= 2048
X= 1945, Y= 1955
X= 2055, Y= 2253
X= 2164, Y= 2303
X= 1843, Y= 2105
X= 2059, Y= 2285
X= 1938, Y= 2111
X= 2160, Y= 2200
X= 2251, Y= 2284
X= 1828, Y= 2049
X= 2015, Y= 2150
X= 2060, Y= 2148
X= 2013, Y= 2101
X= 2079, Y= 2105
X= 2229, Y= 2126
X= 2282, Y= 2144
X= 2339, Y= 2094
X= 2039, Y= 1998
X= 2102, Y= 2016
X= 2251, Y= 2082
X= 2037, Y= 1949
X= 2138, Y= 2062
X= 2120, Y= 2053
X= 2030, Y= 2019
X= 1937, Y= 1943
X= 2040, Y= 1981
X= 2004, Y= 1929
X= 2042, Y= 1938
X= 2069, Y= 1930
X= 2113, Y= 1939
X= 2093, Y= 1943
X= 2111, Y= 1952
X= 2130, Y= 1931
X= 2151, Y= 2029
X= 2140, Y= 1968
X= 2480, Y= 2126
X= 2098, Y= 1987
X= 1984, Y= 1873
X= 2046, Y= 1907
X= 2046, Y= 1923
X= 2211, Y= 1980
X= 2039, Y= 1879
X= 2017, Y= 1900
X= 2007, Y= 1939
X= 1919, Y= 1875
X= 1994, Y= 1815
X= 1996, Y= 1819
X= 1982, Y= 1809
X= 1994, Y= 1868
X= 2023, Y= 1875
X= 2031, Y= 1881
X= 2009, Y= 1834
X= 2000, Y= 1804
X= 1960, Y= 1796
X= 1971, Y= 1848
X= 2012, Y= 1849
X= 2032, Y= 1791
X= 2114, Y= 1887
X= 2144, Y= 1997
X= 2248, Y= 1911
X= 2282, Y= 1992
X= 2232, Y= 1993
X= 2103, Y= 1942
X= 1997, Y= 1926
X= 1961, Y= 1895
X= 2247, Y= 2048
X= 2240, Y= 2143
X= 2273, Y= 2005
X= 2229, Y= 2096
X= 2183, Y= 2024
X= 2231, Y= 1977
X= 1988, Y= 1912
X= 1995, Y= 1953
X= 1848, Y= 2026
X= 2042, Y= 2025
X= 2233, Y= 2070
X= 2115, Y= 2094
X= 2183, Y= 2136
X= 2109, Y= 1912
X= 2101, Y= 2045
X= 2171, Y= 2029
X= 2209, Y= 2110
X= 2166, Y= 2171
X= 2024, Y= 2310
X= 1977, Y= 2439
X= 1976, Y= 2445
X= 2064, Y= 2372
X= 2019, Y= 2393
X= 2036, Y= 2402
X= 2036, Y= 2402
X= 2059, Y= 2415
X= 2084, Y= 2437
X= 2124, Y= 2407
X= 2113, Y= 2479
X= 2050, Y= 2492
X= 1981, Y= 2499
X= 2157, Y= 2329
X= 2113, Y= 2360
X= 2070, Y= 2440
X= 1979, Y= 2533
X= 1999, Y= 2566
X= 1898, Y= 2558
X= 1891, Y= 2577
X= 2089, Y= 2467
X= 2172, Y= 2592
X= 1731, Y= 2494
X= 1819, Y= 2588
X= 1791, Y= 2638
X= 1784, Y= 2579
X= 1746, Y= 2600
X= 1869, Y= 2647
X= 2103, Y= 2771
X= 2068, Y= 2790
X= 2105, Y= 2791
X= 1974, Y= 2696
X= 2037, Y= 2720
X= 1871, Y= 2599
X= 1984, Y= 2647
X= 1950, Y= 2613
X= 1915, Y= 2586
X= 1941, Y= 2600
X= 1925, Y= 2573
X= 1874, Y= 2577
X= 1889, Y= 2568
X= 1871, Y= 2568
X= 1925, Y= 2583
X= 1873, Y= 2588
X= 1920, Y= 2579
X= 1930, Y= 2617
X= 1919, Y= 2636
X= 1918, Y= 2618
X= 2058, Y= 2691
X= 1970, Y= 2611
X= 2213, Y= 2750
X= 2126, Y= 2640
X= 2080, Y= 2603
X= 2116, Y= 2521
X= 1977, Y= 2378
X= 2233, Y= 2519
X= 2223, Y= 2543
X= 2134, Y= 2488
X= 2184, Y= 2463
X= 2255, Y= 2503
X= 2268, Y= 2444
X= 2202, Y= 2418
X= 2262, Y= 2415
X= 2386, Y= 2416
X= 2349, Y= 2345
X= 2420, Y= 2376
X= 2470, Y= 2338
X= 2598, Y= 2424
X= 2517, Y= 2333
X= 2383, Y= 2161
X= 2576, Y= 2232
X= 2827, Y= 2434
X= 2679, Y= 2281
X= 2638, Y= 2208
X= 2803, Y= 2334
X= 2858, Y= 2330
X= 2865, Y= 2326
X= 2853, Y= 2298
X= 2996, Y= 2438
X= 2830, Y= 2398
X= 2993, Y= 2218
X= 3014, Y= 2200
X= 2980, Y= 2178
X= 3061, Y= 2177
X= 3052, Y= 2214
X= 3164, Y= 2276
X= 3175, Y= 2262
X= 3272, Y= 2154
X= 3254, Y= 2147
X= 3300, Y= 2139
X= 3350, Y= 2094
X= 3411, Y= 2078
X= 3431, Y= 2069
X= 3391, Y= 2070
X= 3480, Y= 2061
X= 3497, Y= 2014
X= 3532, Y= 1987
X= 3553, Y= 1965
X= 3603, Y= 1952
X= 3644, Y= 1947
X= 3700, Y= 1993
X= 3733, Y= 2015
X= 3840, Y= 1997
X= 3829, Y= 1998
X= 3924, Y= 2187
X= 3928, Y= 1962
X= 3960, Y= 2035
X= 4053, Y= 1997
X= 4074, Y= 2079
X= 4106, Y= 2097
X= 4133, Y= 2115
X= 4091, Y= 1954
X= 4175, Y= 1968
X= 4257, Y= 2006
X= 4307, Y= 2133
X= 4296, Y= 2214
X= 4350, Y= 2180
X= 4352, Y= 2085
X= 4403, Y= 2183
X= 4410, Y= 2041
X= 4578, Y= 2217
X= 4679, Y= 1928
X= 4651, Y= 2290
X= 4630, Y= 2232
X= 4651, Y= 1986
X= 4749, Y= 2085
X= 4807, Y= 2254
X= 4844, Y= 2280
X= 4838, Y= 2087
X= 4824, Y= 1917
X= 4943, Y= 1694
X= 4992, Y= 1790
X= 4977, Y= 1896
X= 5279, Y= 2245
X= 5247, Y= 2294
X= 5225, Y= 2092
X= 5320, Y= 2242
X= 5420, Y= 2135
X= 5380, Y= 2164
X= 5411, Y= 2097
X= 5453, Y= 2119
X= 5533, Y= 2099
X= 5565, Y= 2087
X= 5485, Y= 1951
X= 5578, Y= 2033
X= 5607, Y= 2049
X= 5751, Y= 1494
X= 6051, Y= 2137
X= 5789, Y= 1752
X= 5734, Y= 1660
X= 5793, Y= 1754
X= 5795, Y= 1744
X= 5864, Y= 1673
X= 5846, Y= 1775
X= 5797, Y= 1723
X= 6138, Y= 1413
X= 6033, Y= 1565
X= 6039, Y= 1613
X= 6079, Y= 1617
X= 6138, Y= 1666
X= 6184, Y= 1625
X= 6161, Y= 1552
X= 6169, Y= 1155
X= 6137, Y= 1263
X= 6144, Y= 1333
X= 6212, Y= 1323
X= 6176, Y= 1427
X= 6239, Y= 1488
X= 6207, Y= 1413
X= 6228, Y= 1430
X= 6211, Y= 1473
X= 6268, Y= 1412
X= 6239, Y= 1463
X= 6294, Y= 1344
X= 6267, Y= 1521
X= 6471, Y= 1325
X= 6476, Y= 1343
X= 6302, Y= 1579
X= 6415, Y= 1429
X= 6461, Y= 1088
X= 6427, Y= 1333
X= 6452, Y= 1250
X= 6405, Y= 1407
X= 6410, Y= 1514
X= 6494, Y= 1335
X= 6450, Y= 1256
X= 6535, Y= 972
X= 6512, Y= 875
X= 6450, Y= 1034
X= 6542, Y= 948
X= 6430, Y= 1018
X= 6377, Y= 1010
X= 6367, Y= 1117
X= 6359, Y= 741
X= 6099, Y= 1368
X= 6414, Y= 1211
X= 6192, Y= 1086
X= 6190, Y= 743
X= 6152, Y= 813
X= 6272, Y= 325
X= 6149, Y= 711
