X= 1761, Y= 2805
X= 1747, Y= 2780
X= 1689, Y= 2752
X= 1638, Y= 2785
X= 1631, Y= 2790
X= 1616, Y= 2756
X= 1641, Y= 2746
X= 1605, Y= 2736
X= 1589, Y= 2773
X= 1586, Y= 2797
X= 1592, Y= 2803
X= 1587, Y= 2834
X= 1570, Y= 2824
X= 1619, Y= 2812
X= 1658, Y= 2846
X= 1636, Y= 2856
X= 1682, Y= 2838
X= 1736, Y= 2809
X= 1675, Y= 2870
X= 1644, Y= 2939
X= 1660, Y= 2863
X= 1719, Y= 2895
X= 1706, Y= 2893
X= 1626, Y= 2990
X= 1655, Y= 2944
X= 1706, Y= 2908
X= 1722, Y= 2870
X= 1779, Y= 2870
X= 1825, Y= 2847
X= 1822, Y= 2866
X= 1865, Y= 2932
X= 1854, Y= 2894
X= 1883, Y= 2899
X= 1906, Y= 2858
X= 1953, Y= 2803
X= 1930, Y= 2850
X= 1952, Y= 2835
X= 1939, Y= 2861
X= 1980, Y= 2922
X= 1974, Y= 2918
X= 2009, Y= 2965
X= 2005, Y= 2891
X= 2020, Y= 2927
X= 2085, Y= 2881
X= 2073, Y= 2901
X= 2106, Y= 2976
X= 2154, Y= 2937
X= 2178, Y= 2953
X= 2176, Y= 2944
X= 2209, Y= 2875
X= 2234, Y= 2930
X= 2270, Y= 2944
X= 2272, Y= 2928
X= 2261, Y= 2885
X= 2244, Y= 2711
X= 2296, Y= 2883
X= 2315, Y= 3054
X= 2357, Y= 3016
X= 2405, Y= 3014
X= 2426, Y= 3057
X= 2447, Y= 3010
X= 2455, Y= 3043
X= 2460, Y= 3111
X= 2459, Y= 2905
X= 2499, Y= 2761
X= 2486, Y= 2745
X= 2639, Y= 3037
X= 2589, Y= 2613
X= 2634, Y= 2693
X= 2652, Y= 2801
X= 2715, Y= 2782
X= 2774, Y= 2819
X= 2808, Y= 2787
X= 2789, Y= 2871
X= 2774, Y= 2894
X= 2672, Y= 3166
X= 2698, Y= 3138
X= 2778, Y= 3202
X= 2769, Y= 3172
X= 2774, Y= 3231
X= 2898, Y= 3049
X= 2947, Y= 3005
X= 2987, Y= 2973
X= 3007, Y= 3025
X= 3044, Y= 3100
X= 3124, Y= 2944
X= 3166, Y= 2890
X= 3227, Y= 2808
X= 3250, Y= 2850
X= 3300, Y= 2797
X= 3320, Y= 2852
X= 3254, Y= 2974
X= 3282, Y= 2982
X= 3306, Y= 2960
X= 3370, Y= 2773
X= 3450, Y= 2689
X= 3453, Y= 2756
X= 3446, Y= 2815
X= 3458, Y= 2864
X= 3491, Y= 2842
X= 3600, Y= 3033
X= 3564, Y= 2849
X= 3543, Y= 2857
X= 3545, Y= 2864
X= 3534, Y= 2948
X= 3569, Y= 2847
X= 3609, Y= 2782
X= 3609, Y= 2798
X= 3758, Y= 3181
X= 3741, Y= 3236
X= 3833, Y= 3079
X= 3808, Y= 3037
X= 3931, Y= 3194
X= 3832, Y= 2804
X= 3933, Y= 3062
X= 4176, Y= 3577
X= 3994, Y= 2985
X= 3977, Y= 2817
X= 3956, Y= 2936
X= 3931, Y= 2889
X= 3965, Y= 2769
X= 4007, Y= 2750
X= 4041, Y= 2791
X= 4079, Y= 2720
X= 4235, Y= 3130
X= 4222, Y= 3079
X= 4114, Y= 2798
X= 4237, Y= 3209
X= 4204, Y= 2735
X= 4267, Y= 2678
X= 4330, Y= 2669
X= 4128, Y= 3244
X= 4113, Y= 3162
X= 4022, Y= 3346
X= 4042, Y= 3410
X= 4053, Y= 3299
X= 4118, Y= 3224
X= 4239, Y= 3333
X= 4446, Y= 3850
X= 4450, Y= 3824
X= 4501, Y= 3856
X= 4446, Y= 3522
X= 4379, Y= 3497
X= 4367, Y= 3473
X= 4272, Y= 3665
X= 4519, Y= 3181
X= 4565, Y= 3039
X= 4611, Y= 2890
X= 4597, Y= 2791
X= 4597, Y= 2632
X= 4620, Y= 2988
X= 4630, Y= 2938
X= 4635, Y= 2942
X= 4632, Y= 2896
X= 4414, Y= 3527
X= 4427, Y= 3621
X= 4466, Y= 3575
X= 4479, Y= 3545
X= 4398, Y= 3601
X= 4698, Y= 2916
X= 4648, Y= 2846
X= 4644, Y= 2925
X= 4584, Y= 2873
X= 4577, Y= 2858
X= 4639, Y= 2846
X= 4572, Y= 2786
X= 4534, Y= 2840
X= 4611, Y= 2891
X= 4625, Y= 2906
X= 4603, Y= 2895
X= 4536, Y= 2917
X= 4588, Y= 2909
X= 4531, Y= 2876
X= 4560, Y= 2786
X= 4731, Y= 2972
X= 4652, Y= 2944
