X= 2276, Y= 1365
X= 2286, Y= 1332
X= 2278, Y= 1378
X= 2287, Y= 1386
X= 2279, Y= 1397
X= 2256, Y= 1407
X= 2273, Y= 1392
X= 2280, Y= 1397
X= 2282, Y= 1354
X= 2296, Y= 1368
X= 2279, Y= 1397
X= 2287, Y= 1388
X= 2295, Y= 1387
X= 2289, Y= 1405
X= 2286, Y= 1398
X= 2298, Y= 1386
X= 2271, Y= 1344
X= 2241, Y= 1310
X= 2248, Y= 1256
X= 2227, Y= 1244
X= 2367, Y= 1497
X= 2379, Y= 1551
X= 2381, Y= 1499
X= 2425, Y= 1495
X= 2141, Y= 1841
X= 2110, Y= 1917
X= 2067, Y= 1852
X= 2120, Y= 1871
X= 2129, Y= 1949
X= 2126, Y= 1918
X= 2137, Y= 1974
X= 2117, Y= 1868
X= 2100, Y= 1833
X= 2090, Y= 1893
X= 2376, Y= 1381
X= 2480, Y= 1330
X= 2573, Y= 1717
X= 2574, Y= 1734
X= 2549, Y= 1717
X= 2586, Y= 1748
X= 2567, Y= 1674
X= 2571, Y= 1513
X= 2588, Y= 1602
X= 2667, Y= 1770
X= 2402, Y= 1664
X= 2502, Y= 1540
X= 2556, Y= 1443
X= 2622, Y= 1751
X= 2645, Y= 1820
X= 2628, Y= 1865
X= 2590, Y= 1480
X= 2613, Y= 1570
X= 2637, Y= 1499
X= 2641, Y= 1462
X= 2642, Y= 1485
X= 2675, Y= 1426
X= 2708, Y= 1461
X= 2781, Y= 1583
X= 2862, Y= 1901
X= 2884, Y= 1782
X= 2751, Y= 1451
X= 2769, Y= 1398
X= 2787, Y= 1397
X= 2867, Y= 1467
X= 2892, Y= 1492
X= 2862, Y= 1443
X= 2895, Y= 1475
X= 2903, Y= 1577
X= 2975, Y= 1430
X= 3005, Y= 1458
X= 2996, Y= 1474
X= 2935, Y= 1341
X= 2946, Y= 1384
X= 2977, Y= 1363
X= 3000, Y= 1409
X= 3036, Y= 1464
X= 3070, Y= 1463
X= 3075, Y= 1428
X= 3127, Y= 1468
X= 3150, Y= 1452
X= 3142, Y= 1440
X= 3179, Y= 1381
X= 3191, Y= 1354
X= 3224, Y= 1395
X= 3245, Y= 1282
X= 3247, Y= 1277
X= 3283, Y= 1265
X= 3326, Y= 1315
X= 3313, Y= 1284
X= 3323, Y= 1286
X= 3343, Y= 1239
X= 3352, Y= 1362
X= 3350, Y= 1343
X= 3369, Y= 1366
X= 3392, Y= 1321
X= 3427, Y= 1297
X= 3437, Y= 1433
X= 3476, Y= 1352
X= 3530, Y= 1589
X= 3587, Y= 1647
X= 3604, Y= 1659
X= 3618, Y= 1559
X= 3646, Y= 1477
X= 3640, Y= 1436
X= 3670, Y= 1439
X= 3716, Y= 1379
X= 3732, Y= 1376
X= 3729, Y= 1386
X= 3762, Y= 1318
X= 3755, Y= 1411
X= 3741, Y= 1404
X= 3766, Y= 1472
X= 3777, Y= 1461
X= 3796, Y= 1476
X= 3807, Y= 1490
X= 3839, Y= 1462
X= 3851, Y= 1212
X= 3859, Y= 1113
X= 3884, Y= 1079
X= 3915, Y= 1113
X= 3972, Y= 1165
X= 3922, Y= 1241
X= 3995, Y= 1149
X= 4118, Y= 1343
X= 4115, Y= 1442
X= 4092, Y= 1362
X= 4143, Y= 1254
X= 4179, Y= 1405
X= 4197, Y= 1340
X= 4194, Y= 1425
X= 4194, Y= 1435
X= 4222, Y= 1429
X= 4235, Y= 1430
X= 4257, Y= 1457
X= 4259, Y= 1467
X= 4321, Y= 1429
X= 4343, Y= 1435
X= 4365, Y= 1340
X= 4369, Y= 1319
X= 4392, Y= 1346
X= 4396, Y= 1398
X= 4444, Y= 1436
X= 4469, Y= 1394
X= 4490, Y= 1395
X= 4528, Y= 1463
X= 4566, Y= 1563
X= 4605, Y= 1579
X= 4639, Y= 1543
X= 4639, Y= 1514
X= 4636, Y= 1467
X= 4637, Y= 1405
X= 4657, Y= 1436
X= 4672, Y= 1481
X= 4676, Y= 1433
X= 4673, Y= 1517
X= 4728, Y= 1393
X= 4760, Y= 1509
X= 4835, Y= 1519
X= 4801, Y= 1528
X= 4822, Y= 1448
X= 4790, Y= 1432
X= 4837, Y= 1423
X= 4812, Y= 1345
X= 4812, Y= 1299
X= 4901, Y= 1502
X= 4938, Y= 1482
X= 4998, Y= 1484
X= 4973, Y= 1442
X= 4940, Y= 1295
X= 4986, Y= 1356
X= 5019, Y= 1319
X= 5027, Y= 1382
X= 5018, Y= 1369
X= 5000, Y= 1350
X= 5027, Y= 1265
X= 5051, Y= 1277
X= 5068, Y= 1299
X= 5099, Y= 1246
X= 5128, Y= 1413
X= 5213, Y= 1325
X= 5214, Y= 1256
X= 5213, Y= 1337
X= 5215, Y= 1325
X= 5181, Y= 1283
X= 5195, Y= 1308
X= 5181, Y= 1306
X= 5149, Y= 1294
X= 5225, Y= 1332
X= 5231, Y= 1337
X= 5199, Y= 1327
X= 5233, Y= 1731
X= 5250, Y= 1850
X= 5273, Y= 1953
X= 5295, Y= 1895
X= 5244, Y= 1570
X= 5360, Y= 1842
X= 5240, Y= 1408
X= 5226, Y= 1317
X= 5199, Y= 1329
X= 5237, Y= 1382
X= 5323, Y= 1713
X= 5157, Y= 1333
X= 5168, Y= 1277
X= 5266, Y= 1422
X= 5191, Y= 1292
X= 5179, Y= 1291
X= 5194, Y= 1218
X= 5137, Y= 1051
X= 5175, Y= 1058
X= 5136, Y= 1045
X= 5123, Y= 1051
X= 5151, Y= 1041
X= 5174, Y= 1091
X= 5159, Y= 1146
