X= 1367, Y= 588
X= 1343, Y= 583
X= 1320, Y= 711
X= 1331, Y= 679
X= 1224, Y= 922
X= 1223, Y= 873
X= 1219, Y= 917
X= 1213, Y= 909
X= 1187, Y= 931
X= 1195, Y= 968
X= 1196, Y= 966
X= 1208, Y= 953
X= 1198, Y= 992
X= 1215, Y= 998
X= 1314, Y= 793
X= 1204, Y= 986
X= 1214, Y= 1001
X= 1177, Y= 1046
X= 1354, Y= 669
X= 1319, Y= 699
X= 1263, Y= 693
X= 1146, Y= 992
X= 1136, Y= 961
X= 1181, Y= 1048
X= 1231, Y= 947
X= 1274, Y= 911
X= 1308, Y= 909
X= 1310, Y= 864
X= 1294, Y= 836
X= 1321, Y= 869
X= 1306, Y= 1021
X= 1193, Y= 790
X= 1155, Y= 866
X= 1134, Y= 914
X= 1126, Y= 907
X= 1123, Y= 943
X= 1246, Y= 886
X= 1209, Y= 1014
X= 1148, Y= 1040
X= 1163, Y= 1068
X= 1144, Y= 1111
X= 1196, Y= 1065
X= 1223, Y= 1019
X= 1216, Y= 1062
X= 1232, Y= 1082
X= 1271, Y= 1039
X= 1291, Y= 1018
X= 1154, Y= 1345
X= 1170, Y= 1369
X= 1140, Y= 1380
X= 1149, Y= 1360
X= 1195, Y= 1357
X= 1202, Y= 1377
X= 1218, Y= 1413
X= 1360, Y= 1959
X= 1225, Y= 1460
X= 1221, Y= 1509
X= 1174, Y= 1522
X= 1219, Y= 1509
X= 1194, Y= 1529
X= 1213, Y= 1541
X= 1228, Y= 1502
X= 1219, Y= 1572
X= 1227, Y= 1597
X= 1224, Y= 1655
X= 1229, Y= 1682
X= 1233, Y= 1725
X= 1255, Y= 1704
X= 1280, Y= 1735
X= 1212, Y= 1753
X= 1108, Y= 1852
X= 994, Y= 1997
X= 1030, Y= 1973
X= 1036, Y= 1979
X= 1034, Y= 2001
X= 1059, Y= 2015
X= 1068, Y= 2035
X= 1040, Y= 2088
X= 1048, Y= 2096
X= 1061, Y= 2085
X= 1024, Y= 2141
X= 1019, Y= 2130
X= 1071, Y= 2072
X= 983, Y= 2161
X= 1000, Y= 2156
X= 1151, Y= 2005
X= 1226, Y= 1965
X= 1162, Y= 2077
X= 1077, Y= 2191
X= 1221, Y= 2064
X= 1141, Y= 2168
X= 1067, Y= 2259
X= 1095, Y= 2261
X= 1109, Y= 2220
X= 1117, Y= 2213
X= 1127, Y= 2228
X= 1165, Y= 2200
X= 1077, Y= 2222
X= 1113, Y= 2161
X= 1140, Y= 2154
X= 1130, Y= 2217
X= 1107, Y= 2181
X= 1116, Y= 2122
X= 1168, Y= 2120
X= 1214, Y= 2096
X= 1214, Y= 2058
X= 1179, Y= 2037
X= 1197, Y= 2047
X= 1213, Y= 2042
X= 1209, Y= 2003
X= 1246, Y= 2002
X= 1216, Y= 1993
X= 1190, Y= 2003
X= 1218, Y= 2017
X= 1191, Y= 2038
X= 1186, Y= 2000
X= 1210, Y= 1993
X= 1188, Y= 1998
X= 1193, Y= 1996
X= 1220, Y= 1967
X= 1212, Y= 1989
X= 1229, Y= 1998
X= 1221, Y= 1997
X= 1206, Y= 2016
X= 1210, Y= 1983
X= 1227, Y= 2014
X= 1214, Y= 1995
X= 1209, Y= 1996
X= 1247, Y= 2024
X= 1253, Y= 1994
X= 1229, Y= 1990
X= 1217, Y= 2001
X= 1253, Y= 2010
X= 1250, Y= 1973
X= 1233, Y= 2003
X= 1232, Y= 1999
X= 1237, Y= 1978
X= 1230, Y= 2034
