X= 1611, Y= 2398
X= 1604, Y= 2426
X= 1621, Y= 2459
X= 1644, Y= 2451
X= 1649, Y= 2375
X= 1645, Y= 2337
X= 1642, Y= 2372
X= 1664, Y= 2345
X= 1636, Y= 2284
X= 1655, Y= 2356
X= 1675, Y= 2331
X= 1551, Y= 2199
X= 1549, Y= 2372
X= 1591, Y= 2296
X= 1603, Y= 2268
X= 1598, Y= 2317
X= 1566, Y= 2247
X= 1566, Y= 2153
X= 1589, Y= 2180
X= 1576, Y= 2167
X= 1606, Y= 2027
X= 1612, Y= 2108
X= 1574, Y= 2067
X= 1553, Y= 2074
X= 1579, Y= 2066
X= 1595, Y= 1962
X= 1627, Y= 1944
X= 1630, Y= 1924
X= 1644, Y= 1973
X= 1694, Y= 1910
X= 1679, Y= 1904
X= 1774, Y= 1819
X= 1700, Y= 1866
X= 1679, Y= 1868
X= 1615, Y= 1900
X= 1657, Y= 1758
X= 1624, Y= 1693
X= 1519, Y= 1634
X= 1581, Y= 2154
X= 1653, Y= 1840
X= 1587, Y= 1635
X= 1670, Y= 1612
X= 1640, Y= 1610
X= 1658, Y= 2038
X= 1674, Y= 2017
X= 1676, Y= 2019
X= 1658, Y= 1906
X= 1686, Y= 1893
X= 1733, Y= 1950
X= 1727, Y= 1717
X= 1714, Y= 1682
X= 1777, Y= 1582
X= 1795, Y= 1471
X= 1770, Y= 1477
X= 1814, Y= 1391
X= 1765, Y= 1143
X= 1857, Y= 1185
X= 1924, Y= 1093
X= 1778, Y= 1365
X= 1761, Y= 1096
X= 1789, Y= 1072
X= 1781, Y= 1221
X= 1767, Y= 1246
X= 1809, Y= 1138
X= 1840, Y= 1117
X= 1853, Y= 1100
X= 1837, Y= 983
X= 1876, Y= 1008
X= 1897, Y= 949
X= 1924, Y= 816
X= 1705, Y= 1088
X= 1722, Y= 963
X= 1745, Y= 907
X= 1890, Y= 1057
X= 1880, Y= 1231
X= 1769, Y= 886
X= 1825, Y= 872
X= 1854, Y= 952
X= 1876, Y= 873
X= 1828, Y= 933
X= 1847, Y= 885
X= 1822, Y= 1050
X= 1853, Y= 880
X= 1858, Y= 1029
X= 1865, Y= 816
X= 1882, Y= 972
X= 1852, Y= 1040
X= 1860, Y= 903
X= 1863, Y= 1046
X= 1912, Y= 910
X= 1870, Y= 881
X= 1802, Y= 802
X= 1848, Y= 817
X= 1856, Y= 774
X= 1888, Y= 734
X= 1913, Y= 769
X= 1939, Y= 738
X= 1907, Y= 734
X= 1888, Y= 817
