X= 1572, Y= 1530
X= 1493, Y= 1603
X= 1493, Y= 1557
X= 1562, Y= 1528
X= 1606, Y= 1552
X= 1667, Y= 1600
X= 1678, Y= 1674
X= 1629, Y= 1782
X= 1595, Y= 1827
X= 1557, Y= 1831
X= 1538, Y= 1845
X= 1624, Y= 1776
X= 1707, Y= 1679
X= 1783, Y= 1598
X= 1850, Y= 1508
X= 1883, Y= 1474
X= 1933, Y= 1439
X= 1984, Y= 1432
X= 2023, Y= 1449
X= 2074, Y= 1454
X= 2124, Y= 1468
X= 2171, Y= 1484
X= 2197, Y= 1512
X= 2253, Y= 1561
X= 2152, Y= 1691
X= 2154, Y= 1673
X= 2246, Y= 1564
X= 2311, Y= 1509
X= 2321, Y= 1508
X= 2326, Y= 1524
X= 2260, Y= 1589
X= 2243, Y= 1655
X= 2302, Y= 1628
X= 2290, Y= 1669
X= 2297, Y= 1655
X= 2327, Y= 1659
X= 2361, Y= 1670
X= 2465, Y= 1583
X= 2612, Y= 1483
X= 2723, Y= 1401
X= 2802, Y= 1341
X= 2854, Y= 1289
X= 2883, Y= 1246
X= 2905, Y= 1226
X= 2925, Y= 1235
X= 2942, Y= 1277
X= 2936, Y= 1292
X= 2938, Y= 1334
X= 2938, Y= 1333
X= 2961, Y= 1303
X= 3042, Y= 1341
X= 3078, Y= 1341
X= 3109, Y= 1346
X= 3145, Y= 1347
X= 3189, Y= 1356
X= 3252, Y= 1376
X= 3333, Y= 1458
X= 3458, Y= 1593
X= 3518, Y= 1678
X= 3517, Y= 1621
X= 3499, Y= 1541
X= 3575, Y= 1570
X= 3632, Y= 1611
X= 3691, Y= 1608
X= 3751, Y= 1619
X= 3799, Y= 1618
X= 3850, Y= 1639
X= 3918, Y= 1694
X= 3862, Y= 1648
X= 3820, Y= 1616
X= 3801, Y= 1607
X= 3795, Y= 1602
X= 3807, Y= 1601
X= 3832, Y= 1601
X= 3855, Y= 1577
X= 3894, Y= 1532
X= 3947, Y= 1509
X= 3982, Y= 1493
X= 4147, Y= 1612
X= 4195, Y= 1650
X= 4217, Y= 1680
X= 4249, Y= 1692
X= 4277, Y= 1680
X= 4266, Y= 1627
X= 4287, Y= 1602
X= 4302, Y= 1583
X= 4321, Y= 1593
X= 4330, Y= 1617
X= 4335, Y= 1629
X= 4350, Y= 1615
X= 4375, Y= 1594
X= 4421, Y= 1584
X= 4473, Y= 1606
X= 4582, Y= 1695
X= 4550, Y= 1622
X= 4587, Y= 1638
X= 4643, Y= 1653
X= 4634, Y= 1657
X= 4581, Y= 1660
X= 4549, Y= 1664
X= 4532, Y= 1680
X= 4523, Y= 1704
X= 4519, Y= 1747
X= 4523, Y= 1754
X= 4513, Y= 1737
X= 4528, Y= 1700
X= 4529, Y= 1651
X= 4531, Y= 1653
X= 4552, Y= 1661
X= 4569, Y= 1649
X= 4590, Y= 1627
X= 4599, Y= 1624
X= 4594, Y= 1627
X= 4595, Y= 1663
