X= -1173, Y= 3884
X= 234, Y= 4412
X= 1105, Y= 2500
X= 1243, Y= 1458
X= 1496, Y= 937
X= 1717, Y= 401
X= 1694, Y= 268
X= 1718, Y= 283
X= 1692, Y= 278
X= 1693, Y= 363
X= 1652, Y= 400
X= 1631, Y= 476
X= 1620, Y= 563
X= 1573, Y= 572
X= 1574, Y= 631
X= 1566, Y= 700
X= 1566, Y= 747
X= 1566, Y= 796
X= 1577, Y= 837
X= 1584, Y= 847
X= 1575, Y= 864
X= 1590, Y= 902
X= 1534, Y= 804
X= 1542, Y= 835
X= 1518, Y= 807
X= 1559, Y= 882
X= 1552, Y= 893
X= 1562, Y= 938
X= 1571, Y= 970
X= 1568, Y= 973
X= 1560, Y= 969
X= 1559, Y= 987
X= 1544, Y= 1029
X= 1500, Y= 1013
X= 1382, Y= 892
X= 1345, Y= 805
X= 1340, Y= 864
X= 1344, Y= 888
X= 1349, Y= 954
X= 1395, Y= 1013
X= 1439, Y= 1081
X= 1448, Y= 1082
X= 1491, Y= 1123
X= 1504, Y= 1143
X= 1513, Y= 1161
X= 1517, Y= 1202
X= 1539, Y= 1265
X= 1485, Y= 1277
X= 1515, Y= 1351
X= 1480, Y= 1299
X= 1471, Y= 1313
X= 1428, Y= 1299
X= 1382, Y= 1313
X= 1363, Y= 1352
X= 1221, Y= 1332
X= 1158, Y= 1288
X= 1136, Y= 1232
X= 1198, Y= 1303
X= 1133, Y= 1320
X= 1192, Y= 1385
X= 1265, Y= 1512
X= 1252, Y= 1601
X= 1358, Y= 1546
X= 1466, Y= 1611
X= 1563, Y= 1522
X= 1622, Y= 1456
X= 1649, Y= 1445
X= 1646, Y= 1541
X= 1644, Y= 1465
X= 1595, Y= 1515
X= 1606, Y= 1457
X= 1546, Y= 1634
X= 1518, Y= 1721
X= 1501, Y= 1789
X= 1461, Y= 1897
X= 1448, Y= 1980
X= 1350, Y= 2159
X= 1081, Y= 2343
X= 1018, Y= 1542
X= 1155, Y= 1901
X= 1218, Y= 1862
X= 1281, Y= 1907
X= 1338, Y= 1927
X= 1375, Y= 1917
X= 1393, Y= 1912
X= 1495, Y= 2074
X= 1606, Y= 2209
X= 1641, Y= 2220
X= 1628, Y= 2242
X= 1620, Y= 2263
X= 1598, Y= 2282
X= 1572, Y= 2296
X= 1549, Y= 2320
X= 1552, Y= 2379
X= 1539, Y= 2452
X= 1513, Y= 2429
X= 1436, Y= 2308
X= 1371, Y= 2276
X= 1311, Y= 2252
X= 1273, Y= 2265
X= 1283, Y= 2342
X= 1219, Y= 2281
X= 1198, Y= 2281
X= 1195, Y= 2330
X= 1233, Y= 2408
X= 1303, Y= 2506
X= 1380, Y= 2564
X= 1392, Y= 2665
X= 1394, Y= 2723
X= 1406, Y= 2746
X= 1429, Y= 2791
X= 1449, Y= 2826
X= 1451, Y= 2863
X= 1422, Y= 2807
X= 1399, Y= 2784
X= 1418, Y= 2847
X= 1430, Y= 2937
X= 1443, Y= 2964
X= 1453, Y= 3013
X= 1421, Y= 2991
X= 1393, Y= 3003
X= 1363, Y= 2972
X= 1300, Y= 2892
X= 1234, Y= 2872
X= 1215, Y= 2937
X= 1138, Y= 2869
X= 1164, Y= 3069
X= 1176, Y= 2981
X= 1196, Y= 2925
X= 1209, Y= 2942
X= 1208, Y= 2970
X= 1236, Y= 2991
X= 1253, Y= 3015
X= 1273, Y= 3053
X= 1412, Y= 3428
X= 1443, Y= 3359
X= 1478, Y= 3370
X= 1490, Y= 3367
X= 1499, Y= 3340
X= 1552, Y= 3463
X= 1569, Y= 3547
X= 1507, Y= 3516
X= 1455, Y= 3401
X= 1393, Y= 3280
X= 1350, Y= 3278
X= 1317, Y= 3228
X= 1281, Y= 3239
X= 1275, Y= 3220
X= 1293, Y= 3248
X= 1335, Y= 3350
X= 1406, Y= 3503
X= 1497, Y= 3707
X= 1535, Y= 3857
X= 1565, Y= 4013
X= 1570, Y= 4129
X= 1548, Y= 4103
X= 1548, Y= 4109
X= 1549, Y= 4079
X= 1489, Y= 3970
X= 1458, Y= 3970
X= 1444, Y= 3938
X= 1421, Y= 3875
X= 1424, Y= 3869
X= 1426, Y= 3859
X= 1437, Y= 3843
X= 1470, Y= 3878
X= 1501, Y= 3906
X= 1510, Y= 3896
X= 1513, Y= 3902
X= 1505, Y= 3973
X= 1502, Y= 3970
X= 1491, Y= 3957
X= 1500, Y= 3980
X= 1502, Y= 4016
X= 1494, Y= 4019
X= 1519, Y= 4034
X= 1514, Y= 4057
X= 1497, Y= 4064
X= 1477, Y= 4067
X= 1456, Y= 4086
X= 1455, Y= 4148
X= 1464, Y= 4201
X= 1464, Y= 4183
X= 1460, Y= 4205
X= 1474, Y= 4214
X= 1487, Y= 4180
X= 1498, Y= 4171
X= 1511, Y= 4161
X= 1514, Y= 4108
X= 1519, Y= 4134
X= 1536, Y= 4096
X= 1539, Y= 4105
X= 1560, Y= 4125
X= 1542, Y= 4136
X= 1544, Y= 4137
X= 1546, Y= 4153
X= 1538, Y= 4140
X= 1524, Y= 4197
X= 1257, Y= 4607
X= 1109, Y= 5262
X= 894, Y= 5639
X= 572, Y= 4587
X= 555, Y= 4375
X= 511, Y= 4415
X= 507, Y= 4262
X= 687, Y= 4029
X= 1094, Y= 4092
X= 1348, Y= 3995
X= 1265, Y= 4158
X= 1215, Y= 4256
X= 1162, Y= 4353
X= 1098, Y= 4433
X= 1015, Y= 4408
X= 940, Y= 4348
X= 914, Y= 4349
X= 869, Y= 4317
X= 864, Y= 4310
X= 845, Y= 4253
X= 919, Y= 4180
X= 943, Y= 4172
X= 969, Y= 4105
X= 976, Y= 4055
X= 981, Y= 4006
X= 993, Y= 3961
X= 1006, Y= 3922
X= 1017, Y= 3888
X= 1032, Y= 3866
X= 1041, Y= 3857
X= 1043, Y= 3863
X= 1051, Y= 3862
X= 1054, Y= 3867
X= 1042, Y= 3873
X= 1055, Y= 3869
X= 1058, Y= 3869
X= 1048, Y= 3869
X= 1049, Y= 3891
X= 1035, Y= 3895
X= 1028, Y= 3894
X= 1004, Y= 3902
X= 982, Y= 3903
X= 939, Y= 3913
X= 968, Y= 3905
