X= 4932, Y= 1293
X= 4933, Y= 1503
X= 4821, Y= 1113
X= 4823, Y= 1182
X= 4805, Y= 1247
X= 4805, Y= 1319
X= 4789, Y= 1297
X= 4768, Y= 1322
X= 4761, Y= 1354
X= 4777, Y= 1382
X= 4736, Y= 1400
X= 4734, Y= 1385
X= 4720, Y= 1380
X= 4693, Y= 1499
X= 4699, Y= 1580
X= 4652, Y= 1529
X= 4600, Y= 1498
X= 4575, Y= 1606
X= 4558, Y= 1541
X= 4501, Y= 1478
X= 4421, Y= 1361
X= 4425, Y= 1334
X= 4402, Y= 1247
X= 4344, Y= 1190
X= 4305, Y= 1084
X= 4265, Y= 1042
X= 4235, Y= 1078
X= 4232, Y= 1148
X= 4210, Y= 1122
X= 4172, Y= 1106
X= 4222, Y= 1061
X= 4119, Y= 1069
X= 4097, Y= 1069
X= 4074, Y= 1056
X= 4035, Y= 1173
X= 4017, Y= 1237
X= 3997, Y= 1207
X= 3973, Y= 1217
X= 3955, Y= 1261
X= 3945, Y= 1179
X= 3912, Y= 1218
X= 3890, Y= 1190
X= 3888, Y= 1016
X= 3830, Y= 1067
X= 3759, Y= 1144
X= 3695, Y= 1152
X= 3689, Y= 1089
X= 3645, Y= 1087
X= 3650, Y= 1016
X= 3597, Y= 1031
X= 3455, Y= 1251
X= 3491, Y= 973
X= 3480, Y= 1061
X= 3506, Y= 1093
X= 3317, Y= 1435
X= 3264, Y= 1522
X= 3213, Y= 1540
X= 3146, Y= 1508
X= 3031, Y= 1384
X= 3075, Y= 911
X= 3087, Y= 866
X= 3097, Y= 796
X= 3074, Y= 850
X= 2959, Y= 1632
X= 2896, Y= 1667
X= 2910, Y= 1945
X= 2965, Y= 1717
X= 2927, Y= 1246
X= 2933, Y= 1217
X= 2947, Y= 1380
X= 2989, Y= 1309
X= 3025, Y= 1124
X= 2852, Y= 1337
X= 2775, Y= 1324
X= 2860, Y= 1694
X= 2725, Y= 1422
X= 2756, Y= 1256
X= 2740, Y= 1144
X= 2726, Y= 1109
X= 2721, Y= 1067
X= 2702, Y= 1013
X= 2667, Y= 993
X= 2716, Y= 858
X= 2698, Y= 745
X= 2695, Y= 901
X= 2654, Y= 726
X= 2657, Y= 813
X= 2658, Y= 913
X= 2612, Y= 921
X= 2630, Y= 917
X= 2626, Y= 893
X= 2621, Y= 934
X= 2505, Y= 902
X= 2381, Y= 936
X= 2403, Y= 1789
X= 2288, Y= 1624
X= 2226, Y= 1574
X= 2213, Y= 1388
X= 2315, Y= 1538
X= 2227, Y= 1369
X= 2241, Y= 1464
X= 2192, Y= 1398
X= 2265, Y= 1511
X= 2105, Y= 1300
X= 2234, Y= 1447
X= 2410, Y= 1493
X= 2328, Y= 1484
X= 2372, Y= 1492
X= 2268, Y= 1434
X= 2231, Y= 1401
X= 2274, Y= 1437
X= 2275, Y= 1510
X= 2185, Y= 1555
X= 2231, Y= 1498
X= 2226, Y= 1469
X= 2206, Y= 1495
X= 2126, Y= 1397
X= 2138, Y= 1400
X= 2164, Y= 1332
X= 2110, Y= 1388
X= 2116, Y= 1429
X= 1801, Y= 1830
X= 1893, Y= 1683
X= 1743, Y= 1874
X= 2028, Y= 1256
X= 1922, Y= 1361
X= 1846, Y= 1428
X= 1952, Y= 1330
X= 1945, Y= 1294
X= 1856, Y= 1367
X= 1716, Y= 1494
X= 1681, Y= 1503
X= 1653, Y= 1506
X= 1681, Y= 1395
X= 1644, Y= 1378
X= 1597, Y= 1515
X= 1577, Y= 1538
X= 1540, Y= 1583
X= 1621, Y= 1411
X= 1444, Y= 1730
X= 1474, Y= 1666
X= 1420, Y= 1686
X= 1336, Y= 1614
X= 1469, Y= 1356
X= 1490, Y= 1706
X= 1584, Y= 1308
X= 1533, Y= 1810
X= 1610, Y= 1331
X= 1525, Y= 1668
X= 1587, Y= 1341
X= 1374, Y= 1649
X= 1454, Y= 1636
X= 1472, Y= 1583
X= 1456, Y= 1663
X= 1505, Y= 1662
X= 1505, Y= 1643
X= 1144, Y= 2026
X= 1279, Y= 2127
X= 1293, Y= 1518
X= 1560, Y= 1777
X= 1553, Y= 1757
X= 1180, Y= 2294
X= 1429, Y= 1539
X= 1397, Y= 1502
X= 1294, Y= 2089
X= 1381, Y= 1868
X= 1607, Y= 1870
X= 1486, Y= 1931
X= 1438, Y= 1753
X= 1328, Y= 1511
X= 1412, Y= 1699
X= 1580, Y= 2029
X= 1501, Y= 2011
X= 1462, Y= 2001
X= 1481, Y= 2007
X= 1452, Y= 2347
X= 1398, Y= 1976
X= 1381, Y= 1984
X= 1397, Y= 1960
X= 1304, Y= 2020
X= 1098, Y= 2249
X= 1197, Y= 2117
X= 1276, Y= 2061
X= 1142, Y= 2186
X= 1151, Y= 2199
X= 1089, Y= 2206
X= 1066, Y= 2292
X= 1066, Y= 2225
X= 1039, Y= 2137
X= 1351, Y= 1944
X= 1347, Y= 1981
X= 1444, Y= 1947
X= 1402, Y= 1504
