X= 5156, Y= 1635
X= 5153, Y= 1665
X= 5154, Y= 1654
X= 5162, Y= 1699
X= 5143, Y= 1670
X= 5155, Y= 1681
X= 5149, Y= 1711
X= 5144, Y= 1688
X= 5141, Y= 1666
X= 5123, Y= 1651
X= 5071, Y= 1650
X= 5040, Y= 1665
X= 5318, Y= 1504
X= 5353, Y= 1442
X= 5182, Y= 1587
X= 5009, Y= 1699
X= 4953, Y= 1806
X= 4937, Y= 1843
X= 4950, Y= 1773
X= 4897, Y= 1761
X= 4783, Y= 1521
X= 4789, Y= 1640
X= 4732, Y= 1499
X= 4690, Y= 1636
X= 4690, Y= 1696
X= 4674, Y= 1711
X= 4617, Y= 1750
X= 4599, Y= 1661
X= 4625, Y= 1708
X= 4615, Y= 1775
X= 4618, Y= 1721
X= 4557, Y= 1754
X= 4555, Y= 1746
X= 4505, Y= 1786
X= 4472, Y= 1757
X= 4366, Y= 1633
X= 4301, Y= 1545
X= 4358, Y= 1690
X= 4365, Y= 1891
X= 4329, Y= 1952
X= 4283, Y= 1922
X= 4227, Y= 1846
X= 4108, Y= 1795
X= 4085, Y= 1693
X= 4025, Y= 1668
X= 4016, Y= 1665
X= 4006, Y= 1605
X= 3957, Y= 1564
X= 4015, Y= 1876
X= 3955, Y= 1865
X= 3811, Y= 1617
X= 3747, Y= 1617
X= 3690, Y= 1625
X= 3729, Y= 1706
X= 3728, Y= 1618
X= 3627, Y= 1466
X= 3618, Y= 1563
X= 3584, Y= 1664
X= 3569, Y= 1810
X= 3454, Y= 1525
X= 3394, Y= 1479
X= 3268, Y= 1705
X= 3324, Y= 1497
X= 3303, Y= 1487
X= 3276, Y= 1546
X= 3257, Y= 1561
X= 3241, Y= 1633
X= 3181, Y= 1648
X= 3217, Y= 1746
X= 3207, Y= 1713
X= 3186, Y= 1860
X= 3190, Y= 1830
X= 3206, Y= 1585
X= 3153, Y= 1438
X= 3091, Y= 1481
X= 3014, Y= 1444
X= 2802, Y= 1915
X= 2754, Y= 1926
X= 2744, Y= 2303
X= 2639, Y= 1950
X= 2793, Y= 1545
X= 2704, Y= 1753
X= 2798, Y= 1552
X= 2768, Y= 1701
X= 2556, Y= 2055
X= 2637, Y= 1870
X= 2618, Y= 1990
X= 2541, Y= 1920
X= 2559, Y= 1704
X= 2347, Y= 1753
X= 2205, Y= 1967
X= 2216, Y= 1739
X= 2229, Y= 1692
X= 2217, Y= 1634
X= 2146, Y= 1512
X= 2087, Y= 1489
X= 1877, Y= 1763
X= 1825, Y= 2083
X= 1873, Y= 2204
X= 1868, Y= 2215
X= 1935, Y= 1988
X= 1936, Y= 1932
X= 2046, Y= 1767
X= 2025, Y= 1575
X= 1980, Y= 1463
X= 2000, Y= 1440
X= 1771, Y= 1738
X= 1823, Y= 1557
X= 1483, Y= 1537
X= 1737, Y= 1567
X= 1684, Y= 1654
X= 1387, Y= 1773
X= 1622, Y= 1637
X= 1575, Y= 1730
X= 1628, Y= 1546
X= 1586, Y= 1473
X= 1582, Y= 1468
X= 1540, Y= 1490
X= 1443, Y= 1605
X= 1393, Y= 1675
X= 1377, Y= 1774
X= 1445, Y= 1868
X= 1423, Y= 1935
X= 1371, Y= 1791
X= 1366, Y= 1801
X= 1341, Y= 1645
X= 1391, Y= 1654
X= 1472, Y= 1604
X= 1465, Y= 1495
X= 1480, Y= 1484
X= 1373, Y= 1663
X= 1388, Y= 1720
X= 1457, Y= 1529
X= 1391, Y= 1631
X= 1309, Y= 1410
X= 1391, Y= 1245
X= 1317, Y= 1358
X= 1271, Y= 1385
X= 1303, Y= 1351
X= 1274, Y= 1367
X= 1251, Y= 1432
X= 1276, Y= 1501
X= 1261, Y= 1383
X= 1396, Y= 1168
X= 1405, Y= 1238
X= 1445, Y= 1314
X= 1387, Y= 1399
X= 1429, Y= 1301
X= 1427, Y= 1366
X= 1432, Y= 1328
X= 1423, Y= 1323
X= 1383, Y= 1350
X= 1335, Y= 1155
X= 1535, Y= 2084
X= 1552, Y= 1278
X= 1468, Y= 1238
X= 1457, Y= 1367
X= 1520, Y= 1284
X= 1509, Y= 1282
X= 1497, Y= 1199
X= 1590, Y= 1236
X= 1553, Y= 1240
X= 1512, Y= 1305
X= 1506, Y= 1320
X= 1467, Y= 1339
X= 1475, Y= 1329
X= 1478, Y= 1284
X= 1420, Y= 1346
X= 1374, Y= 1331
X= 1488, Y= 1357
X= 1416, Y= 1544
X= 1463, Y= 1373
