X= 4575, Y= 1868
X= 4555, Y= 1756
X= 4545, Y= 1707
X= 4510, Y= 1636
X= 4491, Y= 1625
X= 4488, Y= 1612
X= 4495, Y= 1615
X= 4479, Y= 1623
X= 4488, Y= 1626
X= 4496, Y= 1640
X= 4488, Y= 1650
X= 4480, Y= 1642
X= 4481, Y= 1624
X= 4505, Y= 1594
X= 4501, Y= 1524
X= 4549, Y= 1486
X= 4574, Y= 1422
X= 4599, Y= 1365
X= 4607, Y= 1329
X= 4482, Y= 1284
X= 4388, Y= 1245
X= 4337, Y= 1259
X= 4316, Y= 1301
X= 4274, Y= 1289
X= 4290, Y= 1324
X= 4321, Y= 1407
X= 4357, Y= 1484
X= 4374, Y= 1566
X= 4406, Y= 1618
X= 4415, Y= 1649
X= 4390, Y= 1648
X= 4376, Y= 1624
X= 4382, Y= 1621
X= 4370, Y= 1657
X= 4350, Y= 1660
X= 4319, Y= 1645
X= 4279, Y= 1649
X= 4220, Y= 1646
X= 4142, Y= 1641
X= 4077, Y= 1615
X= 4030, Y= 1594
X= 4004, Y= 1581
X= 3997, Y= 1547
X= 3999, Y= 1523
X= 3992, Y= 1512
X= 3858, Y= 1666
X= 3772, Y= 1758
X= 3821, Y= 1669
X= 3849, Y= 1577
X= 3873, Y= 1598
X= 3794, Y= 1817
X= 3658, Y= 2027
X= 3644, Y= 2035
X= 3614, Y= 2045
X= 3533, Y= 2132
X= 3501, Y= 2174
X= 3455, Y= 2176
X= 3323, Y= 2035
X= 3293, Y= 2110
X= 3411, Y= 1960
X= 3444, Y= 1853
X= 3449, Y= 1778
X= 3437, Y= 1730
X= 3436, Y= 1736
X= 3416, Y= 1734
X= 3302, Y= 1609
X= 3239, Y= 1556
X= 3190, Y= 1595
X= 3154, Y= 1732
X= 3104, Y= 1835
X= 3031, Y= 1927
X= 2906, Y= 1993
X= 2723, Y= 1904
X= 2804, Y= 1645
X= 2851, Y= 1533
X= 2955, Y= 1425
X= 2965, Y= 1387
X= 2879, Y= 1372
X= 2747, Y= 1448
X= 2610, Y= 1561
X= 2502, Y= 1670
X= 2407, Y= 1728
X= 2424, Y= 1688
X= 2442, Y= 1668
X= 2450, Y= 1639
X= 2405, Y= 1670
X= 2396, Y= 1671
X= 2479, Y= 1548
X= 2526, Y= 1488
X= 2553, Y= 1434
X= 2535, Y= 1409
X= 2432, Y= 1473
X= 2292, Y= 1573
X= 2176, Y= 1648
X= 2271, Y= 1447
X= 2332, Y= 1316
X= 2350, Y= 1275
X= 2353, Y= 1240
X= 2345, Y= 1243
X= 2319, Y= 1251
X= 2276, Y= 1264
X= 2281, Y= 1303
X= 2173, Y= 1353
X= 2129, Y= 1317
X= 2111, Y= 1283
X= 2058, Y= 1304
X= 1894, Y= 1478
X= 1809, Y= 1497
X= 1735, Y= 1543
X= 1666, Y= 1720
X= 1607, Y= 1721
X= 1580, Y= 1708
X= 1687, Y= 1569
X= 1794, Y= 1430
X= 1851, Y= 1341
X= 1877, Y= 1270
X= 1868, Y= 1220
X= 1827, Y= 1202
X= 1757, Y= 1226
X= 1754, Y= 1190
X= 1658, Y= 1149
X= 1430, Y= 1181
X= 1410, Y= 1087
X= 1373, Y= 1150
X= 1302, Y= 1280
X= 1162, Y= 1436
X= 1318, Y= 1430
X= 1423, Y= 1422
X= 1479, Y= 1406
X= 1484, Y= 1431
X= 1559, Y= 1331
X= 1562, Y= 1304
X= 1553, Y= 1394
X= 1516, Y= 1351
X= 1483, Y= 1337
X= 1473, Y= 1317
X= 1470, Y= 1313
X= 1472, Y= 1292
X= 1461, Y= 1298
X= 1473, Y= 1287
X= 1473, Y= 1290
X= 1474, Y= 1270
X= 1449, Y= 1303
X= 1459, Y= 1296
X= 1491, Y= 1249
X= 1379, Y= 1329
X= 1418, Y= 1283
X= 1433, Y= 1265
X= 1466, Y= 1228
X= 1478, Y= 1220
X= 1498, Y= 1202
X= 1536, Y= 1181
X= 1569, Y= 1145
X= 1588, Y= 1120
X= 1545, Y= 1207
X= 1461, Y= 1318
X= 1448, Y= 1334
X= 1388, Y= 1396
X= 1373, Y= 1406
X= 1359, Y= 1416
