X= 3112, Y= 2381
X= 3111, Y= 2359
X= 3108, Y= 2342
X= 3117, Y= 2348
X= 3139, Y= 2342
X= 3144, Y= 2348
X= 3162, Y= 2356
X= 3151, Y= 2359
X= 3116, Y= 2369
X= 3093, Y= 2402
X= 3084, Y= 2432
X= 3078, Y= 2390
X= 3075, Y= 2315
X= 3056, Y= 2257
X= 3055, Y= 2193
X= 3064, Y= 2155
X= 3054, Y= 2156
X= 3057, Y= 2139
X= 2991, Y= 2188
X= 3010, Y= 2165
X= 3039, Y= 2159
X= 3011, Y= 2179
X= 2986, Y= 2204
X= 2968, Y= 2231
X= 2956, Y= 2254
X= 2942, Y= 2275
X= 2947, Y= 2284
X= 2964, Y= 2293
X= 3007, Y= 2434
X= 3039, Y= 2520
X= 3033, Y= 2521
X= 3015, Y= 2460
X= 2974, Y= 2366
X= 2941, Y= 2283
X= 2975, Y= 2294
X= 3010, Y= 2296
X= 3057, Y= 2334
X= 3097, Y= 2348
X= 3118, Y= 2317
X= 3092, Y= 2180
X= 3074, Y= 2067
X= 3063, Y= 1958
X= 3059, Y= 1884
X= 3060, Y= 1822
X= 3070, Y= 1792
X= 3080, Y= 1794
X= 3089, Y= 1829
X= 3096, Y= 1857
X= 3081, Y= 1894
X= 3061, Y= 1888
X= 2991, Y= 1663
X= 2917, Y= 1404
X= 2906, Y= 1342
X= 2918, Y= 1349
X= 2926, Y= 1359
X= 2944, Y= 1377
X= 2967, Y= 1433
X= 3053, Y= 1559
X= 3061, Y= 1586
X= 3040, Y= 1606
X= 3010, Y= 1605
X= 2987, Y= 1622
X= 2963, Y= 1622
X= 2931, Y= 1558
X= 2905, Y= 1489
X= 2910, Y= 1449
X= 2912, Y= 1423
X= 2919, Y= 1403
X= 2923, Y= 1411
X= 2931, Y= 1425
X= 2952, Y= 1465
X= 2944, Y= 1486
X= 2942, Y= 1489
X= 2934, Y= 1458
X= 2941, Y= 1433
X= 2920, Y= 1384
X= 2905, Y= 1351
X= 2891, Y= 1306
X= 2875, Y= 1270
X= 2865, Y= 1251
X= 2856, Y= 1262
X= 2850, Y= 1252
X= 2845, Y= 1255
X= 2829, Y= 1269
X= 2800, Y= 1304
X= 2789, Y= 1316
X= 2783, Y= 1329
X= 2796, Y= 1313
X= 2803, Y= 1320
X= 2862, Y= 1260
X= 2907, Y= 1205
X= 2941, Y= 1157
X= 2957, Y= 1120
X= 2969, Y= 1103
X= 2965, Y= 1103
X= 2964, Y= 1090
X= 2961, Y= 1088
X= 2944, Y= 1080
X= 2952, Y= 1102
X= 2940, Y= 1090
X= 2912, Y= 1101
X= 2911, Y= 1096
X= 2921, Y= 1103
X= 2898, Y= 1113
X= 2892, Y= 1128
X= 2912, Y= 1130
X= 2886, Y= 1128
X= 2876, Y= 1114
