X= 6115, Y= 725
X= 6118, Y= 743
X= 6113, Y= 760
X= 6109, Y= 715
X= 6109, Y= 692
X= 6117, Y= 742
X= 6095, Y= 723
X= 6093, Y= 693
X= 6114, Y= 777
X= 6136, Y= 754
X= 6149, Y= 765
X= 6165, Y= 757
X= 6164, Y= 765
X= 6180, Y= 812
X= 6159, Y= 790
X= 6156, Y= 875
X= 6614, Y= 1373
X= 6258, Y= 881
X= 6216, Y= 788
X= 6164, Y= 801
X= 6160, Y= 848
X= 6158, Y= 792
X= 6139, Y= 762
X= 6167, Y= 851
X= 6209, Y= 928
X= 6185, Y= 959
X= 6125, Y= 1023
X= 5983, Y= 1013
X= 6004, Y= 1012
X= 6059, Y= 1050
X= 6069, Y= 1103
X= 6081, Y= 1002
X= 6126, Y= 1053

X= 6043, Y= 1257
X= 6037, Y= 1250
X= 6039, Y= 1322
X= 6039, Y= 1348
X= 6028, Y= 1424
X= 6049, Y= 1432
X= 6058, Y= 1420
X= 6044, Y= 1417
X= 5954, Y= 1435
X= 5929, Y= 1399
X= 5898, Y= 1356
X= 5921, Y= 1414
X= 6106, Y= 1538
X= 6030, Y= 1519
X= 6007, Y= 1479
X= 6156, Y= 1645
X= 6126, Y= 1615
X= 6101, Y= 1647
X= 5968, Y= 1613
X= 5948, Y= 1615
X= 5866, Y= 1558
X= 5906, Y= 1692
X= 6024, Y= 1840
X= 5989, Y= 1815
X= 5987, Y= 1845
X= 6037, Y= 1845
X= 6006, Y= 1900
X= 5860, Y= 1717
X= 6010, Y= 1848
X= 6002, Y= 1969
X= 6006, Y= 2185
X= 5985, Y= 2138
X= 5997, Y= 2181
X= 6043, Y= 2239
X= 6047, Y= 2305
X= 6029, Y= 2376
X= 5872, Y= 2158
X= 5863, Y= 2211
X= 5860, Y= 2313
X= 5862, Y= 2352
X= 5872, Y= 2336
X= 5883, Y= 2398
X= 5928, Y= 2450
X= 5909, Y= 2438
X= 5892, Y= 2406
X= 6056, Y= 2296
X= 5946, Y= 2375
X= 5744, Y= 2922
X= 6110, Y= 2284
X= 5938, Y= 2106
X= 5917, Y= 2077
X= 5963, Y= 2185
X= 5929, Y= 2123
X= 5896, Y= 2013
X= 6116, Y= 2373
X= 6099, Y= 2409
X= 6118, Y= 2425
X= 6133, Y= 2460
X= 6070, Y= 2439
X= 6094, Y= 2450
X= 6087, Y= 2412
X= 6035, Y= 2461
X= 5980, Y= 2467
X= 6108, Y= 2431
X= 6076, Y= 2504
X= 6144, Y= 2024
X= 6122, Y= 2172
X= 5979, Y= 2299
X= 6024, Y= 2399
X= 5988, Y= 2490
X= 5973, Y= 2440
X= 6157, Y= 2313
X= 6195, Y= 2377
X= 5964, Y= 2391
X= 5969, Y= 2410
X= 6247, Y= 2306
X= 6322, Y= 2407
