X= 4620, Y= 383
X= 6223, Y= -1835
X= 5983, Y= 251
X= 6106, Y= 588
X= 6163, Y= 855
X= 6192, Y= 1021
X= 6174, Y= 1099
X= 6130, Y= 1115
X= 6095, Y= 1121
X= 6071, Y= 1098
X= 6041, Y= 1050
X= 6011, Y= 1008
X= 5991, Y= 982
X= 5986, Y= 971
X= 5974, Y= 920
X= 5963, Y= 897
X= 5952, Y= 861
X= 5962, Y= 854
X= 5964, Y= 847
X= 5965, Y= 840
X= 5978, Y= 855
X= 5986, Y= 833
X= 5980, Y= 835
X= 5975, Y= 830
X= 5963, Y= 843
X= 5970, Y= 848
X= 5980, Y= 859
X= 5994, Y= 851
X= 6008, Y= 846
X= 6019, Y= 869
X= 6033, Y= 907
X= 6040, Y= 943
X= 6058, Y= 986
X= 6072, Y= 993
X= 6087, Y= 1027
X= 6088, Y= 1051
X= 6086, Y= 1077
X= 6076, Y= 1084
X= 6065, Y= 1099
X= 6065, Y= 1116
X= 6046, Y= 1128
X= 6022, Y= 1108
X= 6010, Y= 1134
X= 5986, Y= 1158
X= 5972, Y= 1193
X= 5963, Y= 1232
X= 5943, Y= 1254
X= 5943, Y= 1291
X= 5952, Y= 1346
X= 5957, Y= 1401
X= 5976, Y= 1447
X= 5968, Y= 1491
X= 5976, Y= 1490
X= 5998, Y= 1489
X= 5956, Y= 1577
X= 5937, Y= 1611
X= 5938, Y= 1646
X= 5947, Y= 1680
X= 5958, Y= 1718
X= 5983, Y= 1766
X= 6005, Y= 1811
X= 6013, Y= 1861
X= 6020, Y= 1894
X= 6022, Y= 1935
X= 6027, Y= 1984
X= 6034, Y= 2022
X= 6039, Y= 2055
X= 6040, Y= 2071
X= 6047, Y= 2094
X= 6057, Y= 2126
X= 6061, Y= 2146
X= 6055, Y= 2174
X= 6058, Y= 2201
X= 6060, Y= 2231
X= 6054, Y= 2283
X= 6050, Y= 2321
X= 6051, Y= 2356
X= 6047, Y= 2372
X= 6045, Y= 2366
X= 6040, Y= 2372
X= 6020, Y= 2383
X= 6014, Y= 2377
X= 5994, Y= 2395
X= 5991, Y= 2387
X= 5987, Y= 2395
X= 5978, Y= 2411
X= 5973, Y= 2408
X= 5978, Y= 2421
X= 5985, Y= 2431
X= 5997, Y= 2450
X= 6001, Y= 2479
X= 6010, Y= 2477
X= 6011, Y= 2482
X= 6012, Y= 2478
X= 6014, Y= 2464
X= 6001, Y= 2457
X= 6001, Y= 2453
X= 5994, Y= 2445
X= 6001, Y= 2460
X= 6076, Y= 2562
X= 6154, Y= 2695
X= 6135, Y= 2647
X= 6173, Y= 2716
X= 6117, Y= 2549
X= 6101, Y= 2470
X= 6071, Y= 2441
X= 6048, Y= 2443
X= 6044, Y= 2444
X= 6032, Y= 2435
X= 6012, Y= 2449
X= 6003, Y= 2436
