X= 3292, Y= 2313
X= 3291, Y= 2379
X= 3299, Y= 2393
X= 3284, Y= 2424
X= 3274, Y= 2476
X= 3335, Y= 2343
X= 3302, Y= 2457
X= 3259, Y= 2563
X= 3262, Y= 2656
X= 3231, Y= 2656
X= 3246, Y= 2573
X= 3276, Y= 2591
X= 3298, Y= 2550
X= 3343, Y= 2459
X= 3365, Y= 2468
X= 3372, Y= 2514
X= 3405, Y= 2492
X= 3385, Y= 2528
X= 3387, Y= 2638
X= 3388, Y= 2602
X= 3403, Y= 2645
X= 3429, Y= 2664
X= 3401, Y= 2690
X= 3375, Y= 2760
X= 3401, Y= 2777
X= 3421, Y= 2806
X= 3420, Y= 2814
X= 3414, Y= 2820
X= 3397, Y= 2922
X= 3402, Y= 2898
X= 3422, Y= 2855
X= 3460, Y= 2790
X= 3464, Y= 2789
X= 3617, Y= 3202
X= 3378, Y= 2674
X= 3508, Y= 2716
X= 3467, Y= 2794
X= 3431, Y= 2818
X= 3486, Y= 2735
X= 3420, Y= 2722
X= 3295, Y= 2657
X= 3260, Y= 2840
X= 3358, Y= 2879
X= 3089, Y= 3019
X= 3100, Y= 2993
X= 3115, Y= 2989
X= 3108, Y= 2932
X= 3096, Y= 2936
X= 3125, Y= 2908
X= 3066, Y= 2961
X= 3043, Y= 3025
X= 3047, Y= 2950
X= 3448, Y= 2738
X= 3364, Y= 2632
