X= 2947, Y= 2973
X= 2948, Y= 2958
X= 2968, Y= 2959
X= 2955, Y= 2975
X= 2951, Y= 2975
X= 2942, Y= 2956
X= 2964, Y= 3004
X= 2967, Y= 2966
X= 2975, Y= 2959
X= 2957, Y= 2981
X= 2981, Y= 2981
X= 2978, Y= 2964
X= 2972, Y= 2981
X= 2975, Y= 2995
X= 2986, Y= 2978
X= 2941, Y= 2956
X= 2894, Y= 2934
X= 2851, Y= 2938
X= 2852, Y= 2924
X= 2825, Y= 2935
X= 2857, Y= 2955
X= 2869, Y= 2944
X= 2883, Y= 2944
X= 2855, Y= 2939
X= 2899, Y= 2952
X= 2870, Y= 2923
X= 2906, Y= 2961
X= 2911, Y= 2940
X= 2900, Y= 2942
X= 2842, Y= 2910
X= 2872, Y= 2932
X= 2870, Y= 2911
X= 2799, Y= 2861
X= 2858, Y= 2840
X= 2842, Y= 2810
X= 2836, Y= 2769
X= 2860, Y= 2732
X= 2904, Y= 2717
X= 2873, Y= 2661
X= 2894, Y= 2634
X= 2871, Y= 2616
X= 2868, Y= 2579
X= 2900, Y= 2562
X= 2915, Y= 2537
X= 2925, Y= 2527
X= 2921, Y= 2479
X= 2871, Y= 2455
X= 2899, Y= 2424
X= 2858, Y= 2401
X= 2911, Y= 2378
X= 3198, Y= 2471
X= 3246, Y= 2431
X= 3187, Y= 2393
X= 3014, Y= 2307
X= 2976, Y= 2246
X= 2838, Y= 2182
X= 2936, Y= 2176
X= 3002, Y= 2155
X= 2976, Y= 2132
X= 2990, Y= 2115
X= 2986, Y= 2092
X= 3000, Y= 2065
X= 2952, Y= 2030
X= 3002, Y= 2018
X= 3034, Y= 2015
X= 3022, Y= 1996
X= 3011, Y= 1959
X= 3002, Y= 1941
X= 3046, Y= 1915
X= 3000, Y= 1939
X= 2994, Y= 1890
X= 3039, Y= 1869
X= 3047, Y= 1841
X= 3023, Y= 1855
X= 2979, Y= 1853
X= 3089, Y= 1770
X= 3115, Y= 1777
X= 3104, Y= 1732
X= 2811, Y= 1697
X= 2887, Y= 1681
X= 2793, Y= 1621
X= 2949, Y= 1653
X= 2921, Y= 1657
X= 2937, Y= 1620
X= 2753, Y= 1450
X= 2599, Y= 1466
X= 2726, Y= 1571
X= 2675, Y= 1475
X= 2519, Y= 1507
X= 2510, Y= 1491
X= 2488, Y= 1501
X= 2524, Y= 1524
X= 2472, Y= 1543
X= 2423, Y= 1574
X= 2378, Y= 1593
X= 2392, Y= 1541
X= 2391, Y= 1513
X= 2360, Y= 1528
X= 2357, Y= 1564
X= 2332, Y= 1563
X= 2290, Y= 1563
X= 2278, Y= 1572
X= 2260, Y= 1562
X= 2212, Y= 1542
X= 2191, Y= 1565
X= 2178, Y= 1549
X= 2171, Y= 1547
X= 2310, Y= 1273
X= 2263, Y= 1291
X= 2290, Y= 1218
X= 2088, Y= 1481
X= 2038, Y= 1566
X= 1990, Y= 1581
X= 1972, Y= 1569
X= 2051, Y= 1407
X= 2035, Y= 1405
X= 2114, Y= 1178
X= 2020, Y= 1207
X= 1835, Y= 1483
X= 1791, Y= 1442
X= 1775, Y= 1375
X= 1824, Y= 1265
X= 1833, Y= 1112
X= 1802, Y= 1159
X= 1646, Y= 1416
X= 1636, Y= 1457
X= 1586, Y= 1528
X= 1721, Y= 1584
X= 1620, Y= 1618
X= 1652, Y= 1642
X= 1627, Y= 1642
X= 1679, Y= 1745
X= 1580, Y= 1677
X= 1641, Y= 1765
X= 1598, Y= 1724
X= 1654, Y= 1811
X= 1564, Y= 1777
X= 1597, Y= 1825
X= 1528, Y= 1817
X= 1375, Y= 1841
X= 1335, Y= 1875
X= 1299, Y= 1988
X= 1103, Y= 1872
X= 1060, Y= 1944
X= 1124, Y= 2003
X= 1201, Y= 2094
X= 1254, Y= 2147
X= 1059, Y= 2019
X= 1133, Y= 2029
X= 1135, Y= 2057
X= 1062, Y= 2101
X= 965, Y= 2084
X= 1345, Y= 2279
X= 1355, Y= 2294
X= 1339, Y= 2293
X= 1344, Y= 2324
X= 1367, Y= 2366
X= 1225, Y= 2302
X= 1148, Y= 2262
X= 1150, Y= 2315
X= 1119, Y= 2363
X= 1075, Y= 2424
X= 1366, Y= 2379
X= 1429, Y= 2444
X= 1322, Y= 2333
X= 1381, Y= 2439
X= 1349, Y= 2430
X= 1265, Y= 2399
X= 1246, Y= 2381
X= 1353, Y= 2463
X= 1395, Y= 2489
X= 1406, Y= 2487
X= 1408, Y= 2492
X= 1433, Y= 2551
X= 1328, Y= 2436
X= 1515, Y= 2602
X= 1372, Y= 2492
X= 1257, Y= 2383
X= 1279, Y= 2406
X= 1427, Y= 2536
X= 1364, Y= 2494
X= 1284, Y= 2429
X= 1288, Y= 2402
X= 1297, Y= 2464
X= 1311, Y= 2464
X= 1324, Y= 2478
X= 1359, Y= 2510
X= 1403, Y= 2578
X= 1387, Y= 2551
X= 1340, Y= 2543
X= 1355, Y= 2570
X= 1305, Y= 2544
X= 1407, Y= 2590
X= 1470, Y= 2675
X= 1321, Y= 2668
X= 1445, Y= 2710
X= 1467, Y= 2782
X= 1537, Y= 2702
X= 1440, Y= 2776
X= 1515, Y= 2850
X= 1575, Y= 2880
X= 1558, Y= 2886
X= 1256, Y= 2774
X= 1431, Y= 2873
X= 1382, Y= 2959
X= 1496, Y= 3027
X= 1481, Y= 3116
X= 1527, Y= 3157
X= 1533, Y= 3143
X= 1486, Y= 3221
X= 1539, Y= 3191
X= 1516, Y= 3233
X= 1541, Y= 3229
X= 1454, Y= 3291
X= 1579, Y= 3235
X= 1629, Y= 3226
X= 1678, Y= 3215
X= 1772, Y= 3150
X= 1717, Y= 3205
X= 1797, Y= 3151
X= 1831, Y= 3138
X= 1909, Y= 3225
X= 1972, Y= 3233
X= 1967, Y= 3178
X= 2001, Y= 3188
X= 1990, Y= 3187
X= 1997, Y= 3192
X= 2043, Y= 3204
X= 2057, Y= 3198
X= 2158, Y= 3267
X= 2223, Y= 3245
X= 2251, Y= 3319
X= 2347, Y= 3354
X= 2429, Y= 3365
X= 2432, Y= 3445
X= 2510, Y= 3389
X= 2330, Y= 3309
X= 2387, Y= 3248
X= 2354, Y= 3250
X= 2397, Y= 3236
X= 2419, Y= 3315
X= 2437, Y= 3309
X= 2603, Y= 3457
X= 2599, Y= 3487
X= 2515, Y= 3464
X= 2495, Y= 3380
X= 2513, Y= 3349
X= 2588, Y= 3392
X= 2631, Y= 3382
X= 2652, Y= 3384
X= 2397, Y= 3197
X= 2515, Y= 3322
X= 2509, Y= 3275
X= 2515, Y= 3231
X= 2646, Y= 3339
X= 2689, Y= 3296
X= 2689, Y= 3319
X= 2586, Y= 3204
X= 2493, Y= 3100
X= 2738, Y= 3289
X= 2717, Y= 3143
X= 2601, Y= 3009
X= 2557, Y= 2941
X= 2560, Y= 2975
X= 2559, Y= 2982
X= 2761, Y= 2853
X= 2653, Y= 2924
X= 2677, Y= 2952
X= 2656, Y= 2922
X= 2717, Y= 2921
X= 2727, Y= 2880
X= 2709, Y= 2911
X= 2723, Y= 2910
X= 2710, Y= 2915
X= 2760, Y= 2886
X= 2620, Y= 2938
X= 2676, Y= 2887
X= 2732, Y= 2826
X= 2849, Y= 2894
X= 2783, Y= 2932
X= 2809, Y= 2905
X= 2848, Y= 2861
X= 2867, Y= 2795
X= 2788, Y= 2804
X= 2720, Y= 2786
X= 2971, Y= 2775
X= 2893, Y= 2844
X= 2867, Y= 2912
X= 2755, Y= 3064
X= 2712, Y= 3039
X= 2630, Y= 3146
X= 2666, Y= 3071
X= 2680, Y= 3068
X= 2705, Y= 3022
X= 2716, Y= 3029
X= 2700, Y= 3066
X= 2712, Y= 3059
X= 2722, Y= 3052
X= 2748, Y= 3004
X= 2721, Y= 3003
X= 2752, Y= 2984
X= 2673, Y= 3106
X= 2795, Y= 2996
X= 2742, Y= 2995
X= 2694, Y= 2986
X= 2700, Y= 2986
