X= 2261, Y= 4581
X= 2288, Y= 4569
X= 2289, Y= 4573
X= 2263, Y= 4549
X= 2275, Y= 4565
X= 2215, Y= 4551
X= 2291, Y= 4549
X= 2279, Y= 4524
X= 2264, Y= 4526
X= 2253, Y= 4546
X= 2265, Y= 4563
X= 2246, Y= 4563
X= 2271, Y= 4533
X= 2248, Y= 4529
X= 2286, Y= 4353
X= 2232, Y= 4500
X= 2072, Y= 4594
X= 2220, Y= 4504
X= 2189, Y= 4515
X= 2182, Y= 4512
X= 2213, Y= 4497
X= 2222, Y= 4471
X= 2200, Y= 4439
X= 2182, Y= 4362
X= 2197, Y= 4228
X= 2150, Y= 4090
X= 2079, Y= 4006
X= 2050, Y= 3856
X= 1921, Y= 3956
X= 2077, Y= 4092
X= 2104, Y= 3967
X= 2158, Y= 3933
X= 2215, Y= 3890
X= 2139, Y= 3845
X= 2083, Y= 3799
X= 1980, Y= 3754
X= 2137, Y= 3456
X= 2070, Y= 3569
X= 2119, Y= 3601
X= 2202, Y= 3620
X= 2132, Y= 3452
X= 2161, Y= 3460
X= 2227, Y= 3477
X= 2313, Y= 3490
X= 2303, Y= 3437
X= 2325, Y= 3423
X= 2230, Y= 3283
X= 2229, Y= 3261
X= 2101, Y= 3376
X= 2240, Y= 3308
X= 2216, Y= 3251
X= 2233, Y= 3190
X= 2314, Y= 3142
X= 2348, Y= 3146
X= 2430, Y= 3127
X= 2467, Y= 3108
X= 2353, Y= 3046
X= 2207, Y= 2881
X= 2361, Y= 2860
X= 2294, Y= 2811
X= 2315, Y= 2769
X= 2095, Y= 2952
X= 2116, Y= 2939
X= 2338, Y= 2721
X= 2315, Y= 2688
X= 2398, Y= 2595
X= 2419, Y= 2540
X= 2400, Y= 2564
X= 2489, Y= 2582
X= 2465, Y= 2524
X= 2489, Y= 2406
X= 2318, Y= 2332
X= 2309, Y= 2265
X= 2232, Y= 2229
X= 2279, Y= 2231
X= 2518, Y= 2283
X= 2171, Y= 2126
X= 2328, Y= 2179
X= 2363, Y= 1952
X= 2308, Y= 1887
X= 2341, Y= 1780
X= 2364, Y= 1795
X= 2189, Y= 1856
X= 2066, Y= 1900
X= 2143, Y= 1851
X= 2247, Y= 1684
X= 2258, Y= 1658
X= 2271, Y= 1610
X= 2314, Y= 1604
X= 2274, Y= 1575
X= 2237, Y= 1555
X= 2231, Y= 1496
X= 2136, Y= 1548
X= 2307, Y= 1289
X= 2169, Y= 1483
X= 2368, Y= 1318
X= 2393, Y= 1187
X= 2362, Y= 1204
X= 2356, Y= 1192
X= 2304, Y= 1182
X= 2250, Y= 1231
X= 2198, Y= 1244
X= 2203, Y= 1226
X= 2299, Y= 1172
X= 2323, Y= 1135
X= 2309, Y= 1125
X= 2357, Y= 1063
X= 2326, Y= 1056
X= 2323, Y= 1023
X= 2267, Y= 1034
X= 2242, Y= 1045
X= 2229, Y= 1081
X= 2216, Y= 1068
X= 2190, Y= 1090
X= 2190, Y= 1084
X= 2195, Y= 1072
X= 2186, Y= 1036
X= 2212, Y= 1027
X= 2171, Y= 998
X= 2185, Y= 1012
X= 2146, Y= 1011
X= 2159, Y= 990
X= 2171, Y= 966
X= 1896, Y= 1076
X= 2036, Y= 989
X= 1938, Y= 1042
X= 2048, Y= 1005
X= 2040, Y= 1051
X= 2079, Y= 1003
X= 1976, Y= 1063
X= 1916, Y= 1110
X= 1917, Y= 1056
X= 1910, Y= 1101
X= 2098, Y= 1005
X= 2041, Y= 1037
X= 2094, Y= 946
X= 2195, Y= 942
X= 2258, Y= 904
X= 2351, Y= 962
X= 2182, Y= 936
X= 2249, Y= 917
X= 2170, Y= 910
X= 2267, Y= 902
X= 2310, Y= 865
X= 2327, Y= 852
X= 2302, Y= 816
X= 2325, Y= 822
X= 2283, Y= 853
X= 2307, Y= 817
X= 2269, Y= 858
X= 2287, Y= 853
X= 2274, Y= 871
X= 2306, Y= 848
X= 2358, Y= 918
X= 2366, Y= 879
X= 2352, Y= 895
X= 2392, Y= 895
X= 2312, Y= 867
X= 2299, Y= 906
X= 2306, Y= 894
X= 2298, Y= 937
X= 2326, Y= 908
X= 2344, Y= 912
X= 2285, Y= 837
X= 2288, Y= 884
X= 2295, Y= 882
X= 2272, Y= 813
X= 2288, Y= 917
X= 2332, Y= 906
X= 2319, Y= 900
X= 2314, Y= 913
X= 2299, Y= 874
X= 2338, Y= 932
X= 2283, Y= 846
X= 2319, Y= 886
X= 2322, Y= 922
X= 2299, Y= 907
X= 2307, Y= 905
X= 2341, Y= 915
X= 2284, Y= 913
