X= 3115, Y= 4396
X= 3152, Y= 4369
X= 2893, Y= 4431
X= 2705, Y= 4457
X= 2638, Y= 4444
X= 2631, Y= 4578
X= 2957, Y= 4410
X= 2959, Y= 4379
X= 2951, Y= 4273
X= 2935, Y= 4448
X= 3024, Y= 4423
X= 3010, Y= 4425
X= 2919, Y= 4421
X= 2733, Y= 4404
X= 3193, Y= 4464
X= 3141, Y= 4355
X= 3131, Y= 4308
X= 2737, Y= 4339
X= 2570, Y= 4313
X= 2842, Y= 4182
X= 2570, Y= 4316
X= 2966, Y= 4239
X= 2846, Y= 4169
X= 2567, Y= 4107
X= 2570, Y= 4116
X= 2553, Y= 4111
X= 2522, Y= 4104
X= 2453, Y= 4101
X= 2478, Y= 4078
X= 2491, Y= 4031
X= 2543, Y= 4027
X= 2572, Y= 3973
X= 2561, Y= 3981
X= 2488, Y= 3967
X= 2916, Y= 3992
X= 2854, Y= 3911
X= 2952, Y= 3883
X= 2905, Y= 3887
X= 2936, Y= 3856
X= 2861, Y= 3871
X= 2956, Y= 3858
X= 2935, Y= 3857
X= 2893, Y= 3775
X= 2613, Y= 3573
X= 2625, Y= 3354
X= 2767, Y= 3544
X= 2764, Y= 3542
X= 2727, Y= 3484
X= 2628, Y= 3515
X= 2590, Y= 3475
X= 2624, Y= 3429
X= 2642, Y= 3369
X= 2766, Y= 3334
X= 2792, Y= 3335
X= 2775, Y= 3315
X= 2753, Y= 3315
X= 2805, Y= 3296
X= 2810, Y= 3260
X= 2499, Y= 3095
X= 2462, Y= 3174
X= 2354, Y= 3231
X= 2409, Y= 3184
X= 2349, Y= 3282
X= 2488, Y= 3127
X= 2489, Y= 3065
X= 2501, Y= 2949
X= 2519, Y= 2848
X= 2391, Y= 3239
X= 2709, Y= 2867
X= 2337, Y= 3126
X= 2270, Y= 3039
X= 2226, Y= 2942
X= 2273, Y= 2758
X= 2128, Y= 2747
X= 2241, Y= 2684
X= 2145, Y= 2741
X= 2246, Y= 2645
X= 2661, Y= 2255
X= 2216, Y= 2533
X= 2784, Y= 2406
X= 2811, Y= 2351
X= 2751, Y= 2148
X= 2549, Y= 2446
X= 2780, Y= 2300
X= 2800, Y= 2134
X= 2767, Y= 2046
X= 2878, Y= 2083
X= 2870, Y= 1993
X= 2648, Y= 1986
X= 2987, Y= 1878
X= 3078, Y= 1853
X= 3048, Y= 1844
X= 2886, Y= 1850
X= 2825, Y= 1966
X= 2478, Y= 2293
X= 2958, Y= 1969
X= 3018, Y= 2006
X= 3039, Y= 1947
X= 2680, Y= 1675
X= 2423, Y= 1866
X= 2312, Y= 1380
X= 2473, Y= 1856
X= 2383, Y= 1724
X= 2435, Y= 1830
X= 2735, Y= 1510
X= 2724, Y= 1496
X= 2701, Y= 1442
X= 2670, Y= 1411
X= 2685, Y= 1294
X= 2541, Y= 1498
X= 2517, Y= 1512
X= 2535, Y= 1445
X= 2623, Y= 1188
X= 2638, Y= 1648
X= 1594, Y= 2215
X= 2716, Y= 1347
X= 2730, Y= 1356
X= 2749, Y= 1312
X= 2727, Y= 1315
X= 2662, Y= 1361
X= 2619, Y= 853
X= 2449, Y= 767
X= 2549, Y= 777
X= 2532, Y= 923
X= 2685, Y= 936
X= 2689, Y= 1329
X= 2580, Y= 987
X= 2703, Y= 960
X= 2737, Y= 969
X= 2726, Y= 994
X= 2715, Y= 997
X= 2711, Y= 1016
X= 2715, Y= 1015
X= 2650, Y= 978
X= 2635, Y= 1002
X= 2698, Y= 987
X= 2716, Y= 1005
X= 2621, Y= 1034
X= 2782, Y= 1060
X= 2672, Y= 1062
X= 2693, Y= 1057
