X= 3085, Y= 1693
X= 3095, Y= 1689
X= 3084, Y= 1698
X= 2972, Y= 1795
X= 2945, Y= 1798
X= 2915, Y= 1805
X= 2902, Y= 1797
X= 2874, Y= 1847
X= 2778, Y= 1681
X= 2592, Y= 2004
X= 2713, Y= 1692
X= 2616, Y= 1543
X= 2552, Y= 1589
X= 2582, Y= 1662
X= 2367, Y= 1843
X= 2677, Y= 1886
X= 2622, Y= 1884
X= 2557, Y= 1893
X= 2383, Y= 1842
X= 2387, Y= 1856
X= 2586, Y= 1915
X= 2379, Y= 1874
X= 2358, Y= 2079
X= 2483, Y= 1924
X= 2566, Y= 1966
X= 2585, Y= 1959
X= 2549, Y= 1944
X= 2325, Y= 1876
X= 2059, Y= 1901
X= 2111, Y= 1879
X= 2486, Y= 1908
X= 1934, Y= 1887
X= 2061, Y= 1843
X= 2049, Y= 1840
X= 1986, Y= 1835
X= 1919, Y= 1833
X= 1918, Y= 1831
X= 1839, Y= 1720
X= 1810, Y= 1731
X= 1856, Y= 1757
X= 1998, Y= 1768
X= 2018, Y= 1806
X= 2003, Y= 1781
X= 1917, Y= 1772
X= 1861, Y= 1718
X= 1885, Y= 1739
X= 1823, Y= 1783
X= 1798, Y= 1809
X= 1771, Y= 1791
X= 1756, Y= 1805
X= 1695, Y= 1812
X= 1585, Y= 1816
X= 1556, Y= 1829
X= 1511, Y= 1836
X= 1497, Y= 1888
X= 1474, Y= 1846
X= 1463, Y= 1859
X= 1400, Y= 1828
X= 1367, Y= 1852
X= 1270, Y= 1829
X= 1372, Y= 1901
X= 1450, Y= 1855
X= 1233, Y= 1858
X= 1190, Y= 1780
X= 1089, Y= 1934
X= 1078, Y= 1999
X= 1154, Y= 1957
X= 1209, Y= 1881
X= 1394, Y= 1912
X= 1343, Y= 1849
X= 1347, Y= 1735
X= 921, Y= 1305
X= 1273, Y= 1813
X= 1206, Y= 1825
X= 1287, Y= 1916
X= 1306, Y= 1906
X= 1296, Y= 1942
X= 1336, Y= 1906
X= 1407, Y= 1918
X= 1130, Y= 1672
X= 1424, Y= 1927
X= 1397, Y= 1928
X= 1379, Y= 1885
X= 1253, Y= 1749
X= 1340, Y= 1849
X= 1243, Y= 1834
X= 1194, Y= 1818
X= 1268, Y= 1884
X= 814, Y= 1595
X= 992, Y= 1850
X= 994, Y= 1846
X= 994, Y= 1863
X= 1003, Y= 1867
X= 1062, Y= 1872
X= 1059, Y= 1891
X= 1084, Y= 1904
X= 849, Y= 1684
X= 820, Y= 1668
X= 766, Y= 1688
X= 1078, Y= 1976
X= 1052, Y= 1953
X= 1097, Y= 1951
X= 1092, Y= 1964
X= 1114, Y= 1963
X= 1082, Y= 1960
X= 1084, Y= 1961
X= 1152, Y= 1948
X= 1174, Y= 1927
X= 1178, Y= 1965
X= 1166, Y= 1965
X= 1152, Y= 1927
