X= 2582, Y= 1900
X= 2698, Y= 1798
X= 2681, Y= 1846
X= 2620, Y= 1866
X= 2604, Y= 1864
X= 2503, Y= 1768
X= 2476, Y= 1771
X= 2341, Y= 1652
X= 2330, Y= 1709
X= 2283, Y= 1711
X= 2284, Y= 1684
X= 2283, Y= 1706
X= 2243, Y= 1730
X= 2181, Y= 1701
X= 2130, Y= 1659
X= 2096, Y= 1666
X= 2024, Y= 1635
X= 1991, Y= 1629
X= 1922, Y= 1617
X= 1868, Y= 1602
X= 1889, Y= 1446
X= 1830, Y= 1568
X= 1751, Y= 1560
X= 1729, Y= 1606
X= 1823, Y= 1751
X= 1727, Y= 1729
X= 1697, Y= 1654
X= 1708, Y= 1748
X= 1698, Y= 1714
X= 1685, Y= 1675
X= 1654, Y= 1649
X= 1672, Y= 1732
X= 1453, Y= 1576
X= 1288, Y= 1607
X= 1324, Y= 1855
X= 1284, Y= 1859
X= 1362, Y= 1673
X= 1380, Y= 1591
X= 1310, Y= 1608
X= 1323, Y= 1593
X= 1266, Y= 1614
X= 1168, Y= 1679
X= 1135, Y= 1678
X= 1154, Y= 1614
X= 1177, Y= 1574
X= 1217, Y= 1542
X= 1251, Y= 1554
X= 1313, Y= 1491
X= 1233, Y= 1577
X= 1229, Y= 1543
X= 1200, Y= 1575
X= 1187, Y= 1635
X= 1159, Y= 1634
X= 1140, Y= 1621
X= 1159, Y= 1622
X= 1144, Y= 1613
X= 1123, Y= 1628
X= 1124, Y= 1629
X= 1077, Y= 1630
X= 1032, Y= 1652
X= 1038, Y= 1674
X= 1027, Y= 1638
X= 1375, Y= 1034
X= 1223, Y= 1461
X= 1141, Y= 1598
X= 1069, Y= 1721
X= 1065, Y= 1697
X= 1061, Y= 1719
X= 1022, Y= 1758
X= 1054, Y= 1716
X= 1054, Y= 1702
X= 1018, Y= 1704
X= 968, Y= 1703
X= 995, Y= 1706
X= 944, Y= 1679
X= 915, Y= 1707
X= 891, Y= 1643
X= 985, Y= 1690
X= 778, Y= 1786
X= 934, Y= 1693
X= 981, Y= 1541
X= 936, Y= 1614
X= 940, Y= 1644
X= 947, Y= 1663
X= 976, Y= 1636
X= 899, Y= 1646
X= 903, Y= 1659
X= 906, Y= 1647
X= 714, Y= 1610
X= 973, Y= 1623
X= 975, Y= 1639
X= 850, Y= 1680
X= 872, Y= 1694
X= 836, Y= 1693
X= 866, Y= 1672
X= 804, Y= 1709
X= 819, Y= 1694
X= 851, Y= 1686
X= 843, Y= 1661
X= 852, Y= 1675
X= 769, Y= 1698
X= 828, Y= 1674
X= 810, Y= 1682
X= 876, Y= 1653
X= 917, Y= 1634
X= 901, Y= 1671
X= 828, Y= 1676
