X= 2268, Y= 1869
X= 2242, Y= 1937
X= 2222, Y= 1862
X= 2225, Y= 1860
X= 2116, Y= 1984
X= 2202, Y= 1898
X= 2176, Y= 1917
X= 2117, Y= 2025
X= 2013, Y= 2064
X= 2011, Y= 2075
X= 2034, Y= 2056
X= 2094, Y= 2019
X= 2135, Y= 2080
X= 2151, Y= 2050
X= 2174, Y= 2064
X= 2150, Y= 2063
X= 2155, Y= 2053
X= 2139, Y= 2053
X= 2163, Y= 2020
X= 2116, Y= 1968
X= 2134, Y= 2029
X= 2181, Y= 2730
X= 2030, Y= 1930
X= 2033, Y= 1869
X= 2044, Y= 1838
X= 2064, Y= 1837
X= 2071, Y= 1838
X= 2060, Y= 1809
X= 2048, Y= 1835
X= 2069, Y= 1813
X= 2063, Y= 1865
X= 2080, Y= 1873
X= 2061, Y= 1912
X= 2069, Y= 1973
X= 2063, Y= 1955
X= 2072, Y= 1962
X= 1915, Y= 2203
X= 1952, Y= 2125
X= 2070, Y= 1984
X= 2128, Y= 1920
X= 2189, Y= 1913
X= 2162, Y= 1961
X= 2182, Y= 2017
X= 2198, Y= 2010
X= 2190, Y= 2062
X= 2157, Y= 2110
X= 2175, Y= 2063
X= 2164, Y= 2042
X= 2132, Y= 2069
X= 2100, Y= 2068
X= 2167, Y= 2065
X= 2119, Y= 2048
X= 2121, Y= 2050
X= 2140, Y= 2041
X= 2160, Y= 2043
X= 2122, Y= 1990
X= 2140, Y= 1985
X= 2133, Y= 1995
X= 2151, Y= 2012
X= 2148, Y= 1997
X= 2138, Y= 1964
X= 2122, Y= 1999
X= 2132, Y= 1918
X= 2095, Y= 1975
X= 2114, Y= 1934
X= 2146, Y= 1892
X= 2079, Y= 1924
X= 2086, Y= 1897
X= 2101, Y= 1887
X= 2119, Y= 1825
X= 2104, Y= 1830
X= 2106, Y= 1822
X= 2098, Y= 1799
X= 2068, Y= 1814
X= 2109, Y= 1834
X= 2079, Y= 1838
X= 2087, Y= 1789
X= 2081, Y= 1825
X= 2094, Y= 1853
X= 2091, Y= 1840
X= 2110, Y= 1925
X= 2234, Y= 2675
X= 2082, Y= 1895
X= 2058, Y= 1914
X= 2096, Y= 1919
X= 2083, Y= 1966
X= 2117, Y= 1985
X= 2101, Y= 1927
X= 2084, Y= 1938
X= 2094, Y= 1941
X= 2080, Y= 1912
X= 2081, Y= 1950
X= 2075, Y= 1924
X= 2077, Y= 1932
X= 2086, Y= 1969
X= 2099, Y= 2028
X= 2160, Y= 1988
X= 2108, Y= 2036
X= 2142, Y= 2065
X= 2117, Y= 1999
X= 2134, Y= 2015
X= 2142, Y= 1969
X= 2129, Y= 2039
X= 2125, Y= 1988
X= 2096, Y= 1991
X= 2118, Y= 1968
X= 2099, Y= 1925
X= 2112, Y= 1891
X= 2092, Y= 1855
X= 2122, Y= 1793
