X= 2533, Y= 3984
X= 2559, Y= 3986
X= 2563, Y= 4019
X= 2507, Y= 4027
X= 2549, Y= 3928
X= 2479, Y= 3984
X= 2842, Y= 3809
X= 2679, Y= 3749
X= 2656, Y= 3763
X= 2655, Y= 3624
X= 2476, Y= 3787
X= 2506, Y= 3767
X= 2466, Y= 3726
X= 2497, Y= 3719
X= 2528, Y= 3680
X= 2528, Y= 3680
X= 2521, Y= 3724
X= 2525, Y= 3670
X= 2518, Y= 3656
X= 2541, Y= 3539
X= 2602, Y= 3575
X= 2543, Y= 3540
X= 2553, Y= 3525
X= 2398, Y= 3413
X= 2539, Y= 3445
X= 2515, Y= 3430
X= 2561, Y= 3406
X= 2551, Y= 3426
X= 2659, Y= 3455
X= 2642, Y= 3483
X= 2645, Y= 3481
X= 2594, Y= 3423
X= 2671, Y= 3409
X= 2658, Y= 3398
X= 2736, Y= 3411
X= 2830, Y= 3342
X= 2861, Y= 3320
X= 2835, Y= 3353
X= 3130, Y= 3571
X= 3772, Y= 3538
X= 3064, Y= 3298
X= 3018, Y= 3374
X= 2907, Y= 3403
X= 2953, Y= 3375
X= 3277, Y= 3171
X= 3155, Y= 3258
X= 3143, Y= 3232
X= 3132, Y= 3238
X= 3302, Y= 3177
X= 3199, Y= 3119
X= 3344, Y= 2956
X= 3389, Y= 3087
X= 3818, Y= 3182
X= 3567, Y= 3155
X= 3528, Y= 3044
X= 3563, Y= 3125
X= 3562, Y= 2926
X= 4639, Y= 3103
X= 3598, Y= 2689
X= 3537, Y= 2624
X= 3506, Y= 2652
X= 3535, Y= 2629
X= 3577, Y= 2582
X= 3617, Y= 2580
X= 3659, Y= 2520
X= 3731, Y= 2513
X= 3792, Y= 2520
X= 3826, Y= 2456
X= 3891, Y= 2339
X= 3920, Y= 2311
X= 3869, Y= 2247
X= 3851, Y= 2214
X= 3805, Y= 2075
X= 3865, Y= 2137
X= 3833, Y= 2000
X= 3856, Y= 1849
X= 3443, Y= 1898
X= 3973, Y= 1940
X= 4634, Y= 2044
X= 4288, Y= 1791
X= 4221, Y= 1693
X= 3821, Y= 1700
X= 3888, Y= 1723
X= 3845, Y= 1456
X= 3865, Y= 1476
X= 3875, Y= 1211
X= 3832, Y= 1384
X= 3768, Y= 1390
X= 3890, Y= 1351
X= 3846, Y= 1374
X= 3779, Y= 1191
X= 3794, Y= 1100
X= 3858, Y= 1160
X= 3864, Y= 1173
X= 3833, Y= 1115
X= 3807, Y= 1047
X= 3755, Y= 1054
X= 3630, Y= 938
X= 3615, Y= 940
X= 3541, Y= 857
X= 3525, Y= 820
X= 3544, Y= 745
X= 3419, Y= 642
X= 3404, Y= 628
X= 3903, Y= 685
X= 3959, Y= 654
X= 3958, Y= 622
X= 3833, Y= 604
X= 3767, Y= 561
X= 3114, Y= 402
X= 3172, Y= 379
X= 3467, Y= 509
X= 3024, Y= 252
X= 3061, Y= 174
X= 3107, Y= 132
X= 3139, Y= 242
X= 2905, Y= 94
X= 2932, Y= 100
X= 2932, Y= -117
X= 2835, Y= -910
X= 2701, Y= -1089
X= 2951, Y= -219
X= 2814, Y= -230
X= 2803, Y= -157
X= 2836, Y= -569
X= 2773, Y= -766
X= 2690, Y= -762
X= 3365, Y= -572
X= 3215, Y= -229
X= 2932, Y= -570
X= 2930, Y= -416
X= 2872, Y= -427
X= 2813, Y= -467
X= 2892, Y= -626
X= 2807, Y= -571
X= 2643, Y= -548
X= 2659, Y= -365
X= 2726, Y= -445
X= 3134, Y= -549
X= 2569, Y= -460
